回答者(or No.),問１ あなたの性別を教えてください。,問２　あなたがふだんからよく遊んだり、やりとりするのは、どのような友だちですか。,問３　放課後／A自分の家,問３　放課後／B友だちの家,問３　放課後／C塾や習い事,問３　放課後／D児童館・児童センター（学童クラブふくむ）,問３　放課後／E学校（クラブ活動、放課後子ども教室「KoKoA」など）,問３　放課後／Fスポーツクラブなどの活動の場,問３　放課後／G公園,問３　放課後／H図書館,問３　放課後／I商店街やショッピングモール,問３　放課後／Jゲームセンター,問３　放課後／Kインターネット上の仮想空間（メタバースなど）,問３　放課後／Lその他,問３　放課後／Lその他　記述,問３　休日に一番多く過ごす場所（複数回答１）,問３　休日に一番多く過ごす場所（複数回答２）,問３　休日に一番多く過ごす場所（複数回答３）,問３　休日に一番多く過ごす場所（複数回答４）,問４　問３のＡ～Lの場所の中で、あなたが一番ほっとできる居場所はどこですか。,問５　あなたは、体育の授業以外で30分以上からだを動かす遊びや習い事を、１週間でどれくらいしますか。,問６　あなたは、平日（学校に行く日）に毎日、朝ごはんを食べますか。,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答１）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答２）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答３）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答４）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答５）,問８　あなたは、自分の健康状態についてどう感じていますか。,問９　全体として、あなたは最近の生活に、どのくらい満足していますか。,問10　あなたは、学校の授業がわからないことがありますか。,問10１　いつごろから、授業がわからなくなりましたか。,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答１）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答２）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答３）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答４）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答５）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答６）,問12　あなたは、ふだん(月～金曜日)学校の授業以外にどれくらいの時間、勉強をしますか。１日あたりの勉強時間を教えてください。,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答１）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答２）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答３）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答４）,問13　５　その他,問14　Aがんばれば、むくわれると思う,問14　B自分は価値のある人間だと思う,問14　C自分は家族に大事にされていると思う,問14　D不安に感じることはないと思う,問14　E孤独を感じることはないと思う,問14　F自分の将来が楽しみだと思う,問14　G自分のことが好きだと思う,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答１）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答２）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答３）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答４）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答５）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答６）,問15　10　その他,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答１）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答２）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答３）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答４）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答５）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答６）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答７）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答８）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答９）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答10）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答11）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答12）,問16　14　その他,問17　「ヤングケアラー」という言葉をこれまでに聞いたことがありましたか。,問18　あなた自身は「ヤングケアラー」にあてはまると思いますか。,問19　あなたは「子どもの権利条約」について知っていますか。,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答１）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答２）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答３）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答４）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答５）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答６）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答７）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答８）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答９）,問20　11　その他,問21　自分の意見や考えは、まわりの大人にきちんと聞いてもらえていると思いますか。,問22　A（家以外で）平日の放課後に夜までいることができる場所,問22　B（家以外で）休日にいることができる場所,問22　C家の人がいないとき、夕ごはんをみんなで食べることができる場所,問22　D家で勉強できないとき、静かに勉強ができる場所,問22　E大学生のお兄さんやお姉さんが、勉強を無料でみてくれる場所,問22　F（学校以外で）何でも相談できる場所,問22　G子どもに寄りそう人がいる居場所,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答１）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答２）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答３）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答４）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答５）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答６）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答７）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答８）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答９）,問24　あなたが、狛江市に何でも要望できるとすれば、どのようなことを要望しますか。何でもいいので、書いてください。
268,1,1,1,4,3,4,4,4,4,4,4,4,4,4,,1,,,,1,2,1,1,,,,,2,3,2,,1,2,3,7,,,2,2,,,,,2,2,1,2,3,1,3,1,,,,,,,1,4,6,,,,,,,,,,,3,2,2,1,,,,,,,,,,1,4,3,5,2,3,4,2,3,5,9,,,,,,,
269,2,,,,,,,,,,,,,,,,,,,,3,1,1,2,,,,2,3,2,,7,,,,,,4,1,,,,,3,3,,,2,2,,11,,,,,,,1,4,5,,,,,,,,,,,2,3,3,1,,,,,,,,,,2,3,5,4,5,5,5,4,4,5,,,,,,,,1クラスの人数を少し減らす。
270,1,,3,4,2,4,4,2,3,4,4,4,4,4,,1,,,,1,3,1,1,,,,,3,3,2,,1,3,7,,,,4,2,,,,,2,2,1,4,2,2,2,11,,,,,,,1,6,14,,,,,,,,,,放課後デイサービスの職員,3,3,4,1,3,11,,,,,,,放課後デイサービスの職員,1,3,3,4,4,4,3,4,4,5,,,,,,,,学校に安心して行けるようにしてほしい!!
271,1,1,1,3,3,4,4,4,2,4,4,4,4,4,,7,,,,1,5,1,1,,,,,4,5,2,,1,3,7,,,,4,1,5,,,宿題,2,2,1,2,1,1,2,11,,,,,,,1,4,,,,,,,,,,,,3,2,1,1,,,,,,,,,,2,3,2,2,4,4,5,3,2,4,5,,,,,,,駅前にマックをまた出してほしい。公園をもっと増やしてほしい。
272,1,1,1,4,2,4,4,4,4,4,4,4,4,2,家の前で友達と遊ぶ。,1,,,,1,4,1,1,,,,,1,5,1,,1,3,7,,,,4,2,3,4,,,1,1,1,2,1,1,1,11,,,,,,,1,4,6,,,,,,,,,,,1,2,3,1,3,,,,,,,,,1,5,5,5,5,5,5,5,4,5,,,,,,,,・変わった遊具のある公園を作ってほしい。　・ラグビーができるグラウンドを作ってほしい。
273,1,1,3,3,4,4,4,4,2,4,4,4,4,4,,6,,,,1,5,1,1,2,,,,1,5,1,,1,3,7,,,,4,2,3,4,,,1,2,1,1,1,2,3,10,,,,,,1人に時間が少ない。,1,2,3,4,5,6,,,,,,,,1,2,1,1,2,3,,,,,,,,1,2,1,5,1,2,3,2,4,5,9,,,,,,,大公園で野球やサッカーをやってよくしてほしい。
274,2,1,1,4,2,4,4,4,4,4,4,4,4,4,,1,,,,1,2,1,1,2,,,,3,4,1,,1,3,5,,,,6,1,,,,,1,2,1,3,1,1,1,11,,,,,,,1,2,3,4,6,,,,,,,,,1,2,1,1,2,3,,,,,,,,1,5,5,5,1,5,5,5,4,8,9,,,,,,,将来、自分がなりたい職業について、体験できる場を学校でしたい。
275,,1,1,4,3,4,4,3,4,4,4,4,4,4,,1,,,,1,3,1,1,2,,,,2,4,2,,1,2,3,7,,,2,3,,,,,2,2,2,2,1,1,1,11,,,,,,,1,2,4,6,,,,,,,,,,1,3,2,1,2,3,,,,,,,,1,3,2,3,4,5,,4,5,8,9,,,,,,,
276,1,1,,,,,,,1,,,,,,,,,,,1,5,1,5,,,,,2,2,2,,3,,,,,,1,6,,,,,3,4,2,1,4,2,2,11,,,,,,,1,,,,,,,,,,,,,2,2,4,1,,,,,,,,,,2,,1,,,,,,5,,,,,,,,,いじめがないように考えてほしい。
277,2,1,1,4,2,4,4,4,4,4,4,4,4,4,,1,,,,1,1,1,1,2,,,,2,4,1,,3,5,7,,,,5,1,,,,,1,2,2,1,3,1,2,10,,,,,,友達にどう思われているか。,1,4,5,,,,,,,,,,,3,2,3,1,2,,,,,,,,,,3,3,4,2,4,2,2,3,5,7,,,,,,,公園を増やす。
278,1,1,1,4,3,4,3,1,1,1,1,1,1,1,,1,,,,1,1,1,1,,,,,1,3,2,,3,5,,,,,4,1,,,,,1,1,1,3,1,1,1,8,,,,,,,1,4,6,,,,,,,,,,,3,2,1,1,,,,,,,,,,1,2,5,5,5,2,2,2,6,8,9,,,,,,,中学受験合格
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,5,6,,,,,1,,,,2,,,11,,,,,,,1,4,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,1,1,1,2,4,3,4,4,1,4,4,4,4,4,,1,,,,1,5,1,1,2,,,,1,5,2,,1,2,3,,,,4,3,,,,,1,2,1,1,1,1,1,11,,,,,,,1,2,3,4,5,,,,,,,,,3,2,3,1,2,3,10,,,,,,,1,3,1,3,5,5,5,3,4,5,9,,,,,,,子どもたちが集まって遊べる会。
281,1,1,1,4,2,4,4,3,4,4,4,4,1,,,1,,,,1,5,1,1,,,,,2,3,2,,1,,,,,,4,1,2,,,,1,3,2,3,3,,,11,,,,,,,1,,,,,,,,,,,,,3,3,1,1,,,,,,,,,,2,5,5,5,5,5,3,3,3,9,,,,,,,,
282,1,1,1,4,,4,4,3,4,3,3,4,,,,3,6,,,1,2,1,1,2,,,,2,3,2,,1,3,,,,,2,5,,,,宿題,2,2,1,2,2,1,1,11,,,,,,,1,5,6,,,,,,,,,,,3,2,4,1,3,,,,,,,,,2,2,2,2,3,3,2,2,3,5,6,7,8,9,,,,
283,2,1,2,4,3,4,4,3,3,4,4,4,4,,,1,,,,1,2,1,1,2,,,,3,3,2,,5,,,,,,6,1,,,,,2,2,2,2,1,1,2,11,,,,,,,9,11,,,,,,,,,,,,2,2,3,3,,,,,,,,,,2,1,5,5,1,3,2,5,3,6,8,9,,,,,,公園の近くに駄菓子やをつくってほしい。
284,1,1,3,3,4,4,4,3,4,3,4,2,,,,1,,,,1,3,2,1,,,,,3,2,1,,1,3,5,7,,,2,1,,,,,2,2,2,2,3,1,3,11,,,,,,,1,2,4,6,8,,,,,,,,,3,2,1,1,3,5,,,,,,,,1,3,5,5,5,5,5,5,3,4,5,,,,,,,楽しくて記憶に残る大切なイベント。
285,1,1,1,4,2,4,3,3,4,3,4,4,3,3,祖父母の家,1,,,,1,2,1,1,2,,,,2,4,1,,1,,,,,,6,1,3,4,,,1,1,1,1,1,1,1,11,,,,,,,1,3,6,12,,,,,,,,,,1,2,2,1,,,,,,,,,,1,5,5,5,1,5,5,5,5,,,,,,,,,図書館の本を増やす。（もう少し小説を増やそう）　本屋を増やす。
286,2,,1,4,3,4,4,4,4,3,4,4,1,,,1,,,,8,1,3,1,2,,,,2,1,1,,8,,,,,,3,1,5,,,塾のワーク（自主的にするもの）,4,3,3,4,4,4,2,2,3,4,5,8,10,家族が自分を嫌っている。「死ね」「なんでまだ生きてるの?」「だれもお前と暮らしたくない」「こんなやつ人間じゃない」などと言われたり、頭と背中を殴られたり、あざができるまで蹴られたりする。母は心配してくれない…。家族が色々なものに影響されやすい。（ある時は自分が女じゃないと言い、あるときは女として扱ってほしい、と言う。なんて言えばいいかわからない）,14,,,,,,,,,,,,悩みを話すサイトの年の近い同じ悩みを持つ子。,1,3,1,12,,,,,,,,,,4,2,2,5,2,5,5,5,5,6,,,,,,,,・いじめがないかのアンケート（こころのアンケート）は、皆がいないところで書けるようにしてほしい。一人、ずっと書いていると「いじめがあるの?」みたいにみられる。書きづらい（まわりを気にしてしまうから）　・このようなアンケートを、たくさん（2～3ヵ月に1度くらい）おこなってほしい。　・同じような悩みを持つ子と話したい。スマホが使えない、家からあまり出られないから、専用（話す、相談する）の機械を渡してほしい。無理ならば、場を設けるだけでも…。　・どこからがいじめかを、はっきりと子供に教えてほしい。
287,2,1,2,,3,,,,,,,,,,,1,,,,1,1,1,1,,,,,1,4,1,,3,5,7,,,,5,1,,,,,2,2,1,2,1,1,2,8,,,,,,,1,4,6,8,,,,,,,,,,1,2,3,1,3,5,10,11,,,,,友達,2,5,3,2,2,3,2,2,3,7,8,,,,,,,子育ての対策をもっと本格的にしてほしい。物価高で親への負担軽減のため、給食費無償化にしてほしい。ヤングケアラーへの関わり（取り組み）などを徹底してほしい。子どもへの助成金（物価高対策の一環として）を出してほしい。介護だけに目を向けず、子育て支援にも力を入れてほしい。もしもいじめや虐待がおきた際の教師や教育委員会の対応に力を入れてほしい。子供への居場所（例・シングルマザーなど）を作ってほしい。学童を増やしてほしい。（理由：学童を何回かみたとき、パンパンの人だったから）だれでも相談できる場所を作ってほしい。
288,2,1,2,3,2,4,4,4,3,3,4,4,4,4,,1,,,,2,2,1,1,2,,,,1,5,2,,1,7,,,,,2,6,,,,,3,2,2,3,1,1,2,11,,,,,,,4,8,,,,,,,,,,,,1,2,4,5,,,,,,,,,,2,5,3,5,5,5,2,3,1,2,3,,,,,,,・最近フラット南部が出来たけど、行くといつも「小・中学校は満員です」という看板が出てて、いつも入れないから、そういう場所をもっとひらいてほしい。　・図書館によくいくのだけど、本の広告とかを見て、図書館に行ったり、電子図書館で見たりするけど、その本がないから、取り扱う本の冊数を増やしてほしい。　・公園が少ないから、公園をふやしてほしい。　・狛江には、テーマパークとか、遊園地がないから、作ってほしい。
289,1,1,3,3,2,4,4,3,3,3,3,4,4,,,1,,,,1,2,1,1,,,,,3,3,1,,1,3,5,7,,,5,1,4,,,,1,2,1,2,2,3,1,11,,,,,,,1,4,6,8,9,,,,,,,,,3,2,4,1,3,5,,,,,,,,1,3,2,3,1,5,5,4,4,5,9,,,,,,,みんなが笑顔になる狛江市をつくってほしい。
290,2,1,1,3,3,4,4,4,4,4,4,4,4,4,,1,,,,1,1,1,1,,,,,4,2,4,3,1,2,5,7,,,5,1,2,,,,2,3,4,4,1,1,1,10,,,,,,姉が嫌い,15,,,,,,,,,,,,,2,2,4,1,,,,,,,,,,2,4,2,4,4,2,4,4,6,7,8,,,,,,,・川をきれいにしてほしい。　・まちをきれいにしてほしい。　・リサイクルしてほしい。　・娯楽施設をつくってほしい。（サーティーワン・マックなど）
291,2,1,3,,2,,,,,,,,,,,1,,,,1,1,1,1,,,,,3,5,1,,1,2,7,,,,4,1,,,,,1,1,1,2,4,1,1,11,,,,,,,1,4,8,,,,,,,,,,,3,2,4,1,,,,,,,,,,1,5,5,5,5,5,5,5,3,6,8,,,,,,,
292,2,1,3,4,2,4,4,4,4,4,4,4,4,,,1,,,,1,2,1,1,2,3,,,1,3,1,,1,2,5,7,,,6,1,2,3,4,,1,2,2,3,2,2,2,8,10,,,,,遊ぶ時間がない。,8,,,,,,,,,,,,,3,2,4,1,,,,,,,,,,2,5,3,3,2,2,2,3,6,8,,,,,,,,・食べ物を高い値段にしないでほしいです。　・人によって、態度を変わらずに気軽に買い早稲田大学ができるようにしてほしいです。　・しつこく会話をする人をしないでほしいです。　・必ずというものをなくしてほしいです。　・無料で自主出来る場所をふやしてほしいです。
293,1,1,2,4,2,4,4,4,3,3,4,4,4,,,1,,,,1,2,1,1,2,,,,1,5,1,,1,5,,,,,6,1,3,,,,1,1,1,2,1,2,2,11,,,,,,,1,11,13,,,,,,,,,,,1,2,1,1,,,,,,,,,,1,1,1,5,1,5,5,5,1,7,8,,,,,,,将来の国を担う子どものために、返済不要な奨学金を大学に入るときに市民に配ってほしい。
294,1,1,3,3,3,4,4,3,3,4,3,4,4,4,,1,,,,1,3,1,1,2,5,,,3,4,2,,1,2,7,,,,3,4,,,,,2,2,2,3,2,2,3,11,,,,,,,1,2,4,,,,,,,,,,,2,2,4,1,2,,,,,,,,,3,2,3,3,4,3,2,2,5,6,9,,,,,,,"虐待などをなくし、医療などの施設を増やして特産品を枝豆以外に2,3個増やす（枝豆にもっと力を入れるでも良い）。"
295,2,4,1,,,,,,1,,,,,,,1,,,,1,3,1,1,2,,,,2,5,3,,1,,,,,,1,6,,,,,3,3,1,2,2,2,1,3,,,,,,,1,2,8,,,,,,,,,,,3,3,4,1,,,,,,,,,,2,5,5,5,5,5,4,4,3,,,,,,,,,事故をなくす。犯罪をなくす。
296,2,1,2,4,2,4,4,4,4,4,4,4,4,4,,1,,,,1,1,3,2,,,,,3,5,1,,5,,,,,,6,1,,,,,1,1,1,2,2,2,1,11,,,,,,,1,4,5,6,7,8,,,,,,,,3,3,4,1,4,,,,,,,,,1,1,5,5,2,5,3,3,1,4,6,,,,,,,ボールが使える公園を作ってほしい。
297,1,1,3,2,,,,,1,,,,,,,1,,,,1,5,1,1,2,,,,2,5,2,,1,3,7,,,,3,3,,,,,1,1,1,2,1,2,1,11,,,,,,,4,8,,,,,,,,,,,,1,2,2,1,2,3,,,,,,,,1,2,5,5,2,5,5,3,4,,,,,,,,,自然を残してほしい。
298,2,1,1,4,2,4,1,3,4,4,3,4,4,,,1,,,,1,3,1,1,2,,,,1,5,1,,1,2,3,5,6,7,4,2,3,4,,,1,1,1,1,1,1,1,11,,,,,,,1,2,3,4,5,6,7,8,,,,,,2,2,3,1,2,3,4,5,,,,,,1,,,,,,,,,,,,,,,,,
299,1,1,1,3,4,4,4,4,4,4,4,4,4,4,,1,,,,1,2,1,3,,,,,1,2,1,,2,,,,,,2,6,,,,,1,2,1,4,4,2,3,11,,,,,,,3,4,,,,,,,,,,,,3,3,4,2,,,,,,,,,,1,5,5,5,5,5,5,5,9,,,,,,,,,弟と会う回数を増やしてほしい。
300,1,1,3,4,3,4,3,2,3,4,4,4,4,4,,6,,,,1,5,1,1,2,,,,2,4,1,,1,7,,,,,3,1,3,,,,3,2,1,1,1,1,2,11,,,,,,,1,3,4,6,,,,,,,,,,3,3,4,1,2,3,,,,,,,,2,5,2,2,2,5,4,4,3,4,5,,,,,,,・サッカーができる公園
301,2,1,2,4,3,4,3,4,4,4,3,4,4,4,,1,,,,1,3,1,1,2,,,,2,4,2,,1,7,,,,,3,1,2,,,,2,3,2,4,3,3,3,4,8,,,,,,15,,,,,,,,,,,,,2,3,4,11,,,,,,,,,あまり意見を言わない（自分が）。,2,5,2,2,2,5,5,5,3,4,,,,,,,,とくにありません。
302,1,1,1,4,2,4,4,4,3,3,4,4,4,,,1,,,,1,3,1,1,2,,,,1,5,1,,1,2,5,,,,6,1,,,,,2,1,1,2,2,1,1,11,,,,,,,1,2,4,,,,,,,,,,,2,2,4,1,,,,,,,,,,1,5,5,5,2,2,3,3,1,6,7,,,,,,,子どもにも選挙権がほしい。
303,1,1,2,3,2,4,4,3,4,4,4,4,4,4,,1,,,,1,3,1,1,,,,,1,5,1,,1,3,,,,,3,4,,,,,2,2,1,1,1,1,2,11,,,,,,,1,4,6,8,,,,,,,,,,1,2,2,1,2,3,5,,,,,,,1,5,2,3,2,2,1,3,1,4,6,,,,,,,・子どもに支援金をください。　・本を安くしてほしい。　・テレビに出たい。　・ニュースになるようなお店を開いてほしい。
304,1,1,3,1,3,4,4,4,3,4,4,4,4,,,2,,,,1,3,1,1,,,,,3,3,2,,1,7,,,,,5,1,3,,,,2,2,2,2,2,2,2,11,,,,,,,1,4,,,,,,,,,,,,3,3,4,1,3,,,,,,,,,3,3,1,3,5,5,5,5,3,5,9,,,,,,,子どもが自由に遊べる場所を作ってもらう。
305,1,1,3,3,2,4,4,3,2,4,4,4,4,4,,,,,,1,5,1,1,2,,,,4,4,2,,1,3,,,,,4,2,,,,,1,2,1,1,1,2,2,11,,,,,,,1,4,,,,,,,,,,,,3,2,4,1,,,,,,,,,,1,5,5,1,3,3,5,5,4,5,8,9,,,,,,ボールを使える公園がほしい。子どもだけしか入れないところがほしい。ボール蹴ったりすると当たって怒られるから。
306,1,1,3,4,2,4,3,3,1,4,4,4,4,4,,7,,,,1,5,1,1,,,,,1,5,2,,1,2,3,5,7,,5,1,,,,,1,1,1,1,1,1,1,11,,,,,,,1,2,3,4,5,,,,,,,,,3,2,4,1,2,,,,,,,,,1,5,5,5,5,5,5,5,3,4,9,,,,,,,・公園でボール遊びをしたい。　・公園を増やしてほしい。
307,2,1,1,4,3,4,4,4,2,3,3,4,4,,,1,,,,1,3,1,1,2,3,,,2,4,2,,1,3,5,7,,,3,1,3,,,,1,2,1,3,1,2,3,11,,,,,,,1,2,4,,,,,,,,,,,2,2,3,1,,,,,,,,,,2,5,3,5,3,5,2,5,5,6,9,,,,,,,空からお金がふってくる。
308,1,1,1,3,2,4,3,3,4,4,2,4,4,,,1,,,,1,2,1,1,,,,,2,5,1,,1,3,5,,,,3,1,,,,,1,2,1,2,2,2,2,11,,,,,,,1,3,4,6,7,,,,,,,,,1,2,3,1,3,5,,,,,,,,1,5,5,5,5,4,5,5,1,4,9,,,,,,,
309,2,1,1,4,2,4,4,4,3,4,4,4,4,,,1,,,,1,3,1,1,2,,,,2,4,1,,1,5,6,,,,4,1,,,,,1,2,1,3,1,1,2,11,,,,,,,1,2,4,6,8,,,,,,,,,3,3,4,1,2,3,5,,,,,,,1,3,3,3,2,4,2,3,5,6,9,,,,,,,通学路をもっと安全にしてほしい。
310,1,1,3,4,4,2,4,4,4,4,4,4,4,4,,1,,,,1,2,1,1,,,,,1,5,1,,1,3,7,,,,6,3,4,,,,2,1,1,2,1,2,2,11,,,,,,,1,4,6,,,,,,,,,,,1,2,4,1,2,,,,,,,,,1,3,3,3,3,3,3,3,1,3,,,,,,,,ただの公園ではなく、緑地のように木がたくさん植えられていて遊ぶことのできる公園をつくる。
311,2,1,3,4,3,4,4,2,3,4,4,4,4,4,,6,,,,1,4,1,1,2,,,,1,5,1,,1,3,5,7,,,4,1,,,,,1,1,1,1,1,1,,,,,,,,,1,4,5,6,7,,,,,,,,,2,2,3,1,3,,,,,,,,,2,5,5,5,5,5,5,5,2,5,7,,,,,,,公園の遊具を増やしてほしい。
312,2,1,1,,,,,,,,,,,,,1,,,,1,4,1,1,2,,,,1,5,2,,1,2,7,,,,2,3,,,,,2,2,1,3,2,3,1,11,,,,,,,1,2,4,6,,,,,,,,,,2,2,3,1,3,,,,,,,,,1,5,5,5,5,4,1,1,3,5,9,,,,,,,バスケットコートやゴールを作ってほしい。
313,1,1,3,4,1,4,4,1,4,4,4,4,3,,,6,,,,1,5,1,1,,,,,2,5,2,,1,3,7,,,,2,2,,,,,1,2,1,1,1,1,2,11,,,,,,,4,8,,,,,,,,,,,,2,2,4,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,
314,2,1,1,4,,4,3,,2,4,3,4,4,,,1,,,,1,3,1,1,,,,,1,5,2,,3,7,,,,,3,6,,,,,2,1,1,1,1,1,1,11,,,,,,,1,2,,,,,,,,,,,,3,2,4,1,,,,,,,,,,2,4,4,4,4,4,4,4,5,,,,,,,,,
315,2,1,1,4,3,4,4,4,3,4,4,4,4,,,1,,,,1,2,1,1,2,,,,1,4,1,,1,7,,,,,3,2,,,,,1,2,1,1,1,1,1,11,,,,,,,1,,,,,,,,,,,,,2,2,3,1,,,,,,,,,,1,5,5,5,3,3,5,5,3,,,,,,,,,好きな人と同じクラスにしてほしい。
316,,,2,4,2,4,4,3,3,3,3,3,3,4,,1,,,,1,3,1,1,,,,,1,4,1,,1,3,7,,,,4,4,,,,,1,2,1,2,2,1,2,11,,,,,,,1,3,4,6,,,,,,,,,,3,3,2,1,2,3,,,,,,,,2,2,5,5,2,3,5,5,4,5,9,,,,,,,もっと運動できるところや遊べるところを増やしてほしい。
317,2,1,3,4,2,4,4,4,4,4,4,4,4,,,1,,,,8,2,1,1,2,3,,,3,2,1,,1,5,,,,,6,1,2,3,4,,1,3,2,3,2,3,3,10,,,,,,自由な時間が少ない。,4,8,,,,,,,,,,,,3,2,4,5,,,,,,,,,,1,5,3,5,2,2,2,3,3,6,9,,,,,,,・たくさんの人と関われて、楽しい場所　・学校に相談室を増やしてほしいです。（なかなか予約ができないから。）　・気軽に行ける図書館　・勉強したい人と教えてくれる人が集まっている場所　・もっと物が安くて便利なお店　・人数が多くて広い学校
318,1,1,,,,1,,,,,,,,,,1,,,,1,3,1,1,,,,,1,5,2,,1,3,5,7,,,3,1,3,,,,2,2,1,1,1,1,2,11,,,,,,,1,4,,,,,,,,,,,,3,2,4,1,2,,,,,,,,,1,3,5,2,5,3,5,5,1,4,9,,,,,,,色々な人や子どもと楽しく交流や遊べるイベントを開いてほしい。
319,2,,2,3,3,3,4,4,4,4,4,4,4,4,,1,,,,1,4,1,1,,,,,2,4,2,,1,3,7,,,,4,3,4,,,,2,3,1,2,1,2,2,11,,,,,,,1,4,,,,,,,,,,,,3,2,4,1,2,,,,,,,,,1,3,3,5,5,5,5,5,4,8,9,,,,,,,自然を大切に、守ってほしい。イベントをたくさん開いてほしい。自然環境を守れる市に、してほしい。
320,2,,1,4,2,4,4,4,3,3,4,4,4,4,,1,,,,1,5,1,1,,,,,1,5,1,,1,5,7,,,,5,1,,,,,1,2,1,2,1,2,1,11,,,,,,,1,3,4,5,,,,,,,,,,1,2,1,1,,,,,,,,,,1,3,2,2,3,3,3,3,1,3,8,,,,,,,イベントをひらく。
321,1,1,4,3,2,4,3,2,1,4,4,4,4,4,,6,,,,6,5,1,1,2,3,4,,1,4,2,,1,3,7,,,,2,6,,,,,1,2,1,3,1,1,1,8,10,,,,,お兄ちゃんが心配,1,3,4,5,6,8,9,13,,,,,,3,3,4,1,2,3,5,,,,,,,1,,,,,,,,4,,,,,,,,,サッカーができる公園をつくってほしい。
