20/12/13 00:00,0.002,0.000,0.015,0.024,2.04,0.11,0.009,ENE,2.1,0.000,0.010,0.028,2.05,0.10,0.008,NE ,1.6,0.004,0.001,0.012,0.025,0.009,NNE,0.6,0.003,0.000,0.012,0.025,0.008,NE ,1.7,0.002,0.001,0.012,0.027,2.09,0.07,0.009,NNE,2.5,0.001,0.018,0.009,SSW,0.7,0.001,0.014,0.011,NNW,1.0,0.001,0.014,0.010,ENE,0.7,0.001,0.011,0.008,ENE,1.8
20/12/13 01:00,保守中,0.000,0.013,0.026,2.02,0.10,0.010,ENE,1.5,0.000,0.010,0.028,2.04,0.10,0.009,ENE,1.1,0.004,0.000,0.012,0.025,0.010, C ,0.4,0.003,0.000,0.012,0.025,0.012,NE ,1.1,0.002,0.001,0.012,0.028,2.06,0.07,0.009,ENE,2.0,0.001,0.016,0.009, C ,0.1,0.002,0.014,0.009, N ,0.9,保守中,保守中,0.011, C ,0.2,0.001,0.010,0.010,ESE,0.8
20/12/13 02:00,0.002,保守中,保守中,0.026,2.04,0.11,0.011, E ,1.9,0.000,0.012,0.026,2.03,0.10,0.011,NNE,0.6,0.004,保守中,保守中,0.019,0.011, N ,0.6,0.002,0.000,0.009,0.026,0.014,NE ,0.8,0.002,0.000,0.011,0.030,2.21,0.07,0.011,ENE,3.2,保守中,保守中,0.010,SSW,0.4,0.001,0.015,0.011,NNW,0.5,0.001,0.012,0.010, C ,0.2,0.001,0.011,0.011,SE ,0.4
20/12/13 03:00,0.002,0.000,0.014,0.025,2.05,0.10,0.009, E ,1.6,0.000,0.011,0.026,2.04,0.10,0.011, E ,1.2,0.004,0.000,0.014,0.014,0.010, C ,0.1,0.002,0.000,0.011,0.022,0.012, C ,0.4,0.002,0.001,0.010,0.031,2.51,0.07,0.010,ENE,1.8,0.001,0.017,0.010,ESE,0.4,0.002,0.018,0.011,SW ,0.3,0.001,0.015,0.010, C ,0.0,0.000,0.007,0.011,SE ,0.3
20/12/13 04:00,0.002,0.000,0.013,0.026,2.05,0.10,0.010,ENE,1.6,0.000,0.012,0.025,2.03,0.10,0.009,NE ,1.4,0.004,0.001,0.015,0.011,0.009,NNW,0.5,0.002,0.000,0.013,0.020,0.013, C ,0.4,0.002,0.001,0.010,0.030,2.40,0.07,0.010,ENE,2.3,0.001,0.017,0.010,SSW,0.3,0.001,0.019,0.012, C ,0.2,0.001,0.016,0.011, C ,0.0,0.001,0.011,0.009, C ,0.2
20/12/13 05:00,0.002,0.000,0.014,0.023,2.16,0.16,0.015, C ,0.4,0.000,0.013,0.024,2.07,0.12,0.009, N ,0.6,0.004,0.001,0.018,0.009,0.013,NW ,0.8,0.002,0.002,0.019,0.013,0.013,WNW,0.6,0.002,0.001,0.011,0.028,2.11,0.08,0.009,NE ,0.7,0.003,0.021,0.012, C ,0.0,0.005,0.026,0.013,WNW,0.4,0.006,0.025,0.014,WSW,0.3,0.008,0.019,0.012,NE ,0.8
20/12/13 06:00,0.002,0.001,0.022,0.009,2.61,0.41,0.012, W ,1.1,0.000,0.017,0.015,2.11,0.17,0.010, W ,1.0,0.004,0.003,0.023,0.003,0.011,NW ,0.9,0.002,0.001,0.022,0.008,0.013,WNW,0.9,0.002,0.000,0.013,0.025,2.23,0.12,0.008,ESE,1.0,0.027,0.037,0.011, C ,0.1,0.014,0.029,0.012,WSW,0.3,0.012,0.029,0.013, C ,0.2,0.006,0.025,0.010,ESE,0.3
20/12/13 07:00,0.002,0.003,0.026,0.005,2.42,0.40,0.014,WNW,0.5,0.004,0.027,0.002,2.23,0.29,0.008, W ,0.6,0.004,0.010,0.023,0.001,0.011,NW ,0.7,0.003,0.004,0.025,0.004,0.015, C ,0.3,0.002,0.001,0.020,0.019,2.46,0.12,0.009,ENE,1.7,0.031,0.032,0.014, C ,0.0,0.027,0.029,0.012,SW ,0.3,0.014,0.028,0.014,SW ,0.3,0.008,0.028,0.012, C ,0.2
20/12/13 08:00,0.002,0.015,0.028,0.003,3.25,0.74,0.017,NW ,0.6,0.015,0.027,0.005,2.32,0.36,0.011,NW ,0.8,0.004,0.013,0.024,0.003,0.012,NNW,0.7,0.003,0.015,0.026,0.003,0.017, W ,0.6,0.003,0.004,0.022,0.017,2.35,0.11,0.011, E ,0.8,0.041,0.034,0.014, C ,0.1,0.037,0.028,0.013,NW ,0.9,0.030,0.030,0.014, W ,0.4,0.006,0.023,0.014,NE ,1.1
20/12/13 09:00,0.003,0.018,0.030,0.009,2.66,0.56,0.016,NNW,1.5,0.012,0.025,0.012,2.26,0.32,0.011,NW ,1.7,0.004,0.015,0.024,0.007,0.013,NW ,1.5,0.003,0.015,0.027,0.008,0.017,WNW,1.0,0.003,0.009,0.023,0.016,2.19,0.11,0.013, N ,2.4,0.020,0.034,0.014,NW ,0.4,0.019,0.026,0.015,NNW,1.6,0.018,0.027,0.016,WSW,1.0,0.024,0.031,0.018,NW ,1.1
20/12/13 10:00,0.003,0.010,0.024,0.018,2.25,0.28,0.015, E ,0.9,0.009,0.020,0.021,2.17,0.24,0.013, N ,1.0,0.004,0.007,0.020,0.018,0.015, N ,0.9,0.003,0.009,0.025,0.015,0.018,NNW,0.7,0.004,0.011,0.022,0.020,2.09,0.11,0.012,NNE,2.5,0.010,0.029,0.013,WNW,0.4,0.012,0.022,0.015,NNW,0.7,0.011,0.025,0.016,NE ,0.3,0.014,0.028,0.016,ESE,0.5
20/12/13 11:00,0.003,0.008,0.023,0.023,2.24,0.30,0.017,NNW,1.3,0.008,0.022,0.025,2.17,0.26,0.018,NNE,1.0,0.005,0.004,0.020,0.025,0.019,NNW,1.0,0.004,0.005,0.024,0.022,0.024,NW ,0.7,0.004,0.007,0.019,0.024,2.09,0.13,0.011,NNE,2.2,0.007,0.030,0.016, C ,0.2,0.011,0.025,0.017,NW ,1.8,0.008,0.026,0.018,WSW,0.7,0.006,0.020,0.015, E ,0.9
20/12/13 12:00,0.004,0.006,0.020,0.028,2.17,0.25,0.015,SE ,1.4,0.006,0.019,0.029,2.13,0.23,0.017, C ,0.4,0.005,0.004,0.020,0.029,0.018, S ,0.7,0.004,0.004,0.018,0.029,0.021, W ,1.0,0.004,0.008,0.020,0.026,2.10,0.14,0.013,NNE,1.9,0.006,0.028,0.016,ESE,0.7,0.009,0.022,0.017,NNW,1.0,0.005,0.020,0.018, W ,0.7,0.007,0.023,0.016, E ,0.7
20/12/13 13:00,0.003,0.007,0.023,0.027,2.10,0.22,0.018,SE ,3.4,0.004,0.017,0.033,2.10,0.20,0.016,NNW,0.5,0.005,0.003,0.017,0.034,0.016, W ,0.8,0.004,0.005,0.022,0.025,0.019,ENE,1.2,0.003,0.006,0.020,0.029,2.17,0.15,0.016, E ,1.9,0.006,0.030,0.015,ESE,0.9,0.009,0.023,0.020,NW ,0.8,0.005,0.023,0.015, C ,0.2,0.006,0.026,0.017, E ,1.5
20/12/13 14:00,0.003,0.005,0.023,0.028,2.14,0.21,0.017,ESE,1.9,0.003,0.019,0.033,2.09,0.19,0.014, C ,0.4,0.005,0.003,0.019,0.032,0.018,ESE,1.1,0.004,0.004,0.023,0.027,0.023,ENE,1.1,0.003,0.004,0.020,0.031,2.27,0.14,0.014, E ,1.1,0.004,0.030,0.015,SSE,0.5,0.007,0.025,0.018,NNW,1.0,0.004,0.025,0.019, E ,0.5,0.004,0.024,0.018,ESE,0.3
20/12/13 15:00,0.003,0.003,0.026,0.028,2.17,0.21,0.016,SE ,1.6,0.003,0.023,0.029,2.10,0.20,0.017, E ,1.2,0.005,0.005,0.028,0.024,0.019,ESE,1.0,0.004,0.003,0.025,0.026,0.021, E ,1.0,0.003,0.003,0.022,0.030,2.22,0.15,0.015,ENE,0.8,0.004,0.032,0.016,ESE,0.6,0.009,0.031,0.020, S ,1.0,0.004,0.027,0.017, C ,0.0,0.004,0.030,0.016, E ,0.6
20/12/13 16:00,0.003,0.002,0.025,0.027,2.16,0.22,0.014,NNE,4.1,0.002,0.022,0.029,2.13,0.21,0.013, N ,3.1,0.005,0.001,0.023,0.026,0.016, N ,3.8,0.004,0.002,0.025,0.025,0.019,NE ,0.9,0.003,0.002,0.025,0.028,2.15,0.15,0.014, E ,2.0,0.004,0.033,0.015,SW ,1.0,0.005,0.030,0.017,NNW,1.7,0.002,0.026,0.015,WNW,0.3,0.003,0.024,0.016, C ,0.2
20/12/13 17:00,0.002,0.001,0.010,0.033,2.00,0.12,0.004,NNE,2.7,0.001,0.008,0.035,2.00,0.10,0.004,NNE,1.8,0.004,0.000,0.006,0.034,0.005, N ,2.1,0.003,0.001,0.013,0.030,0.004,NNE,1.8,0.002,0.001,0.019,0.029,2.05,0.09,0.005,NNE,2.4,0.002,0.016,0.005,SW ,0.4,0.002,0.013,0.006,NNW,1.3,0.001,0.016,0.009,NE ,1.4,0.003,0.023,0.008, N ,1.7
20/12/13 18:00,0.002,0.001,0.011,0.031,2.03,0.12,0.004, E ,5.9,0.000,0.011,0.032,2.01,0.10,0.001,ENE,2.4,0.004,0.000,0.010,0.030,0.004,ENE,0.5,0.003,0.001,0.013,0.029,0.005,ENE,2.2,0.002,0.000,0.014,0.030,2.01,0.07,0.007,ENE,5.0,0.002,0.017,0.006,SE ,1.6,0.003,0.013,0.007,NNW,0.8,0.001,0.014,0.006,SW ,0.6,0.002,0.017,0.008,SE ,0.9
20/12/13 19:00,0.002,0.000,0.010,0.030,2.03,0.11,0.010, E ,5.7,0.000,0.010,0.029,2.01,0.10,0.012,ENE,4.6,0.004,0.000,0.009,0.031,0.016,SE ,2.4,0.002,0.000,0.008,0.031,0.015,ENE,2.4,0.002,0.000,0.007,0.033,2.02,0.06,0.011,ENE,3.4,0.001,0.013,0.012,SE ,1.2,0.003,0.012,0.015,NNW,1.4,0.001,0.009,0.012,SW ,0.7,0.001,0.011,0.011,SE ,0.8
20/12/13 20:00,0.003,0.000,0.013,0.026,2.09,0.10,0.011, E ,3.3,0.000,0.013,0.026,2.00,0.07,0.008, E ,2.2,0.004,0.001,0.011,0.028,0.011,ESE,1.7,0.004,0.001,0.010,0.026,0.009,ENE,1.9,0.003,0.000,0.009,0.030,2.02,0.05,0.009,ENE,3.2,0.003,0.018,0.008,ESE,0.8,0.003,0.014,0.011,NNW,0.9,0.002,0.012,0.011,WSW,0.3,0.003,0.012,0.009,SE ,0.6
20/12/13 21:00,0.004,0.001,0.017,0.022,2.03,0.11,0.009,ESE,2.7,0.000,0.015,0.023,2.06,0.09,0.009,ENE,1.9,0.005,0.000,0.014,0.024,0.011,ESE,2.3,0.004,0.001,0.016,0.023,0.011,ENE,1.0,0.003,0.000,0.010,0.030,2.03,0.07,0.009, E ,2.6,0.003,0.022,0.009,ESE,0.9,0.002,0.016,0.010, S ,1.1,0.002,0.018,0.011, C ,0.2,0.001,0.016,0.008,SE ,0.3
20/12/13 22:00,0.003,0.000,0.018,0.022,2.10,0.11,0.008, E ,1.6,0.000,0.014,0.025,2.11,0.10,0.010,NNE,1.0,0.005,0.002,0.020,0.019,0.010, C ,0.4,0.005,0.001,0.018,0.021,0.014,NE ,0.8,0.003,0.000,0.009,0.032,2.05,0.06,0.005,ENE,2.9,0.002,0.023,0.009,SSW,0.4,0.006,0.022,0.010,NNW,0.5,0.001,0.017,0.009,ENE,0.4,0.001,0.017,0.009,SE ,0.3
20/12/13 23:00,0.003,0.001,0.024,0.016,2.33,0.18,0.009, N ,1.9,0.001,0.024,0.016,2.16,0.15,0.008,NNW,1.5,0.005,0.002,0.027,0.012,0.010, N ,1.5,0.003,0.001,0.022,0.016,0.012,WNW,1.1,0.002,0.000,0.016,0.024,2.44,0.07,0.007, N ,1.5,0.009,0.030,0.011,NW ,0.6,0.011,0.029,0.012,NW ,1.1,0.005,0.026,0.012,NW ,0.6,0.020,0.033,0.008, N ,1.2
20/12/14 00:00,0.002,0.001,0.026,0.013,2.53,0.34,0.011,SW ,1.2,0.001,0.028,0.011,2.23,0.21,0.009, S ,2.0,0.005,0.001,0.025,0.013,0.010, S ,1.4,0.003,0.001,0.024,0.014,0.011,SSW,1.1,0.002,0.005,0.031,0.010,2.21,0.12,0.009,SW ,1.6,0.009,0.033,0.011, C ,0.1,0.004,0.026,0.010, S ,1.1,0.002,0.025,0.012, C ,0.1,0.015,0.027,0.008, S ,1.3
20/12/14 01:00,0.003,0.000,0.022,0.015,2.17,0.20,0.011,SW ,2.8,0.001,0.023,0.013,2.20,0.20,0.011, S ,2.1,0.005,0.001,0.023,0.014,0.013, S ,1.3,0.004,0.001,0.023,0.012,0.014,SW ,1.8,保守中,0.005,0.032,0.009,2.21,0.15,0.011,SW ,3.1,0.016,0.031,0.011,NW ,0.3,0.004,0.029,0.013, S ,0.5,0.002,0.025,0.013,WSW,0.6,0.011,0.031,0.013,SSW,1.1
20/12/14 02:00,0.003,0.000,0.017,0.019,2.19,0.21,0.008,WSW,2.9,0.000,0.018,0.016,2.10,0.18,0.010,SSW,3.0,0.005,0.000,0.015,0.021,0.010,SW ,1.6,0.003,0.001,0.016,0.022,0.012, W ,1.5,0.004,保守中,保守中,0.023,2.08,0.11,0.009,WSW,4.2,0.009,0.025,0.012,NW ,0.6,0.003,0.017,0.010, S ,0.9,0.002,0.018,0.011,WSW,0.8,0.001,0.014,0.009, S ,1.8
20/12/14 03:00,0.002,0.000,0.007,0.031,2.02,0.12,0.009,SW ,3.4,0.000,0.007,0.030,2.01,0.10,0.006,SSW,4.6,0.004,0.000,0.007,0.030,0.008, S ,1.7,0.002,0.000,0.008,0.030,0.006,SSW,2.7,0.002,0.001,0.011,0.031,2.08,0.08,0.004,SW ,4.5,0.010,0.020,0.008, W ,0.7,0.004,0.013,0.008, S ,1.7,0.002,0.013,0.008,NNE,0.3,0.000,0.010,0.009, S ,2.2
20/12/14 04:00,0.002,0.000,0.006,0.037,1.99,0.09,0.009,SW ,3.1,0.000,0.005,0.037,1.98,0.06,0.006,SSW,4.5,0.004,0.000,0.004,0.037,0.011, S ,2.3,0.002,0.001,0.006,0.035,0.008,SSW,2.3,0.002,0.001,0.013,0.033,2.04,0.07,0.007,SW ,5.3,0.010,0.021,0.010, W ,0.8,0.003,0.011,0.008, S ,1.4,0.001,0.009,0.008, W ,0.6,0.000,0.011,0.011, S ,4.0
20/12/14 05:00,0.002,0.000,0.007,0.039,1.99,0.08,0.011,SW ,3.0,0.000,0.006,0.039,1.98,0.05,0.009,SSW,3.6,0.004,0.000,0.005,0.039,0.013, S ,1.6,0.003,0.001,0.008,0.036,0.008,SW ,2.2,0.002,0.001,0.014,0.035,2.03,0.05,0.006,SW ,4.8,0.014,0.025,0.013, W ,0.7,0.005,0.015,0.013, S ,1.4,0.002,0.015,0.013,SW ,0.6,0.000,0.010,0.011, S ,3.1
20/12/14 06:00,0.002,0.000,0.009,0.036,2.00,0.10,0.013,SW ,3.3,0.000,0.013,0.029,2.01,0.07,0.011,WSW,1.6,0.004,0.000,0.011,0.033,0.013, S ,1.5,0.003,0.001,0.014,0.030,0.011,SW ,2.5,0.002,0.002,0.021,0.029,2.04,0.06,0.010,SW ,4.6,0.024,0.035,0.012, W ,0.8,0.013,0.031,0.013, S ,2.0,0.004,0.022,0.011,SW ,1.3,0.000,0.013,0.013, S ,3.3
20/12/14 07:00,0.002,0.001,0.014,0.029,2.07,0.14,0.012,WSW,3.1,0.007,0.031,0.004,2.13,0.21,0.011,WSW,2.2,0.004,0.001,0.016,0.029,0.013,WNW,1.6,0.003,0.002,0.023,0.023,0.013,SW ,2.5,0.002,0.006,0.031,0.020,2.06,0.07,0.014,SW ,3.5,0.032,0.035,0.013,NNE,0.5,0.012,0.026,0.014, S ,0.9,0.006,0.030,0.012,SW ,1.2,0.001,0.025,0.014, S ,3.1
20/12/14 08:00,0.002,0.014,0.029,0.010,2.23,0.30,0.017, N ,4.1,0.013,0.029,0.007,2.12,0.23,0.013, N ,2.4,0.004,0.009,0.030,0.008,0.015, N ,3.0,0.003,0.006,0.028,0.017,0.016,WNW,1.8,0.002,0.034,0.042,0.009,2.13,0.12,0.014,NNW,3.8,0.036,0.040,0.012,NW ,1.1,0.031,0.040,0.015,NNW,1.9,0.014,0.035,0.014,NNE,1.2,0.007,0.034,0.017,NNW,2.1
20/12/14 09:00,0.002,0.019,0.029,0.009,2.18,0.33,0.015, N ,3.5,0.020,0.028,0.009,2.15,0.25,0.011, N ,2.7,0.004,0.015,0.027,0.008,0.013, N ,3.5,0.003,0.027,0.036,0.008,0.016,NNE,2.4,0.002,0.027,0.034,0.010,2.13,0.16,0.011, N ,4.4,0.022,0.033,0.012,SW ,0.9,0.037,0.030,0.013,NNW,2.3,0.026,0.032,0.013,NE ,1.9,0.032,0.035,0.014, N ,2.5
20/12/14 10:00,0.002,0.009,0.017,0.023,2.15,0.26,0.006,NNE,5.0,0.005,0.013,0.027,2.04,0.13,0.003, N ,4.0,0.003,0.003,0.011,0.027,0.005, N ,5.1,0.002,0.015,0.022,0.022,0.003, N ,2.8,0.002,0.014,0.022,0.021,2.06,0.12,0.004, N ,4.8,0.012,0.023,0.005,WSW,1.3,0.014,0.016,0.005,NNW,2.6,0.011,0.019,0.004,NE ,2.9,0.013,0.020,0.006,NW ,3.7
20/12/14 11:00,0.002,0.013,0.015,0.024,2.03,0.18,0.003,NNE,5.3,0.003,0.009,0.031,2.01,0.09,0.004, N ,3.6,0.004,0.002,0.007,0.031,0.003, N ,5.4,0.002,0.011,0.017,0.025,0.003, N ,2.7,0.002,0.013,0.020,0.023,2.05,0.12,0.003, N ,4.5,0.008,0.019,0.003, W ,1.4,0.009,0.013,0.003,NNW,2.8,保守中,保守中,0.004,NNE,1.9,0.011,0.018,0.004,NE ,2.2
20/12/14 12:00,0.002,0.006,0.013,0.028,2.02,0.18,0.004,NNE,4.7,0.004,0.011,0.030,2.02,0.11,0.004,NNE,3.5,0.004,0.003,0.009,0.030,0.006,NNE,3.5,0.002,0.022,0.032,0.023,0.009,NE ,3.4,0.002,0.011,0.020,0.025,2.05,0.11,0.005, N ,5.5,0.007,0.018,0.006,SW ,1.2,0.009,0.016,0.006,NNW,2.6,保守中,保守中,0.006,ENE,1.5,0.011,0.020,0.005,ENE,2.6
20/12/14 13:00,0.002,0.007,0.015,0.028,2.03,0.29,0.006,NNE,4.1,0.003,0.011,0.031,2.02,0.12,0.005,NNE,3.2,0.004,0.003,0.009,0.030,0.006,NNE,2.1,0.003,0.004,0.013,0.028,0.005,NNE,2.9,0.002,0.009,0.019,0.026,2.04,0.12,0.008,NNE,4.3,0.005,0.018,0.007,SW ,1.1,0.007,0.014,0.008,NNW,2.6,0.006,0.017,0.007,NE ,1.5,0.007,0.017,0.007, E ,2.5
20/12/14 14:00,0.002,0.006,0.014,0.027,2.05,0.17,0.009,NNE,4.1,0.002,0.009,0.031,2.01,0.10,0.003, N ,3.9,0.003,0.004,0.009,0.029,0.004, N ,4.8,保守中,保守中,保守中,保守中,保守中,NNE,2.9,0.002,0.008,0.023,0.022,2.04,0.11,0.009,NNE,3.7,0.005,0.019,0.008,SW ,1.2,0.006,0.014,0.006,NNW,2.9,0.006,0.017,0.008,NE ,1.9,0.004,0.016,0.004, E ,1.6
20/12/14 15:00,0.002,0.005,0.016,0.023,2.04,0.20,0.003, N ,3.4,0.001,0.011,0.028,2.01,0.08,0.002, N ,4.2,0.003,0.001,0.007,0.030,0.004, N ,4.9,保守中,保守中,保守中,保守中,保守中,NNW,2.4,0.002,0.008,0.028,0.018,2.04,0.10,0.009,NNE,3.5,0.006,0.020,0.005,WNW,1.0,0.006,0.013,0.006,NW ,3.1,0.009,0.020,0.005,NNE,2.0,0.004,0.020,0.007, E ,1.9
20/12/14 16:00,0.001,0.005,0.016,0.022,2.03,0.18,0.005,NNE,3.6,0.001,0.009,0.029,2.00,0.09,0.002, N ,3.6,0.003,0.001,0.008,0.030,0.005, N ,4.9,0.003,0.019,0.024,0.017,0.009,NE ,3.4,0.002,0.007,0.026,0.017,2.04,0.11,0.009,NE ,4.8,0.006,0.022,0.006,SSE,0.9,0.005,0.016,0.007,NNW,2.3,0.005,0.020,0.003,ENE,0.9,0.002,0.018,0.007,ESE,1.1
20/12/14 17:00,0.002,0.002,0.019,0.020,2.02,0.17,0.005,ENE,3.5,0.000,0.013,0.026,2.01,0.10,0.005,ENE,3.2,0.003,0.001,0.011,0.026,0.006,WSW,0.9,0.003,0.001,0.018,0.021,0.006,NE ,2.3,0.002,0.004,0.023,0.020,2.07,0.09,0.008,ENE,4.1,0.006,0.026,0.007,SE ,1.2,0.008,0.017,0.006, N ,1.6,0.003,0.020,0.005,SW ,0.5,0.003,0.016,0.005,ESE,0.8
20/12/14 18:00,0.002,0.001,0.018,0.021,2.00,0.11,0.001, E ,3.7,0.001,0.016,0.022,2.01,0.10,0.004,NE ,1.9,0.004,0.001,0.018,0.019,0.006,WSW,0.6,0.002,0.001,0.012,0.024,0.005,NE ,1.9,0.002,0.003,0.016,0.024,2.07,0.08,0.004,ENE,3.3,0.005,0.024,0.006,ESE,1.2,0.013,0.023,0.006,NNW,0.9,0.002,0.014,0.004,SSW,0.5,0.002,0.016,0.004,ESE,0.9
20/12/14 19:00,0.002,0.001,0.021,0.018,2.01,0.12,0.006, E ,3.0,0.001,0.017,0.020,2.02,0.11,0.006,ENE,2.4,0.004,0.001,0.019,0.017,0.006,SSE,0.7,0.002,0.001,0.014,0.022,0.005,ENE,1.9,0.002,0.002,0.016,0.023,2.09,0.08,0.003,ENE,2.7,0.005,0.026,0.007,ESE,1.3,0.011,0.027,0.005,NW ,0.7,0.002,0.016,0.003,SW ,0.3,0.001,0.012,0.003,ESE,0.5
20/12/14 20:00,0.002,0.001,0.022,0.016,2.01,0.13,0.003, E ,3.2,0.001,0.019,0.018,2.03,0.11,0.004,ENE,1.9,0.004,0.001,0.020,0.016,0.004,NNW,0.6,0.002,0.001,0.013,0.022,0.005,NE ,1.6,0.001,0.001,0.012,0.025,2.09,0.10,0.004,NE ,2.8,0.007,0.027,0.002,ESE,0.8,0.006,0.024,0.006,NW ,0.9,0.002,0.014,0.004,SW ,0.4,0.002,0.011,0.003,ESE,0.9
20/12/14 21:00,0.002,0.001,0.020,0.018,2.02,0.11,0.002, E ,3.5,0.000,0.017,0.020,2.04,0.11,0.001,ENE,2.7,0.004,0.001,0.018,0.017,0.005, C ,0.4,0.003,0.001,0.018,0.018,0.005,NE ,1.7,0.002,0.001,0.014,0.025,2.11,0.08,0.004,ENE,2.6,0.006,0.026,0.006,SE ,0.8,0.006,0.024,0.004,NNW,0.7,0.002,0.019,0.001,SE ,0.4,0.001,0.014,0.003,ESE,0.5
20/12/14 22:00,0.002,0.001,0.022,0.016,2.02,0.11,0.004,ENE,1.6,0.001,0.014,0.023,2.05,0.10,0.003,ENE,1.5,0.004,0.001,0.018,0.018,0.005, C ,0.3,0.002,0.000,0.016,0.020,0.007,NE ,1.2,0.001,0.001,0.011,0.026,2.12,0.07,0.002,ENE,3.0,0.004,0.026,0.005,ESE,0.6,0.007,0.025,0.005, N ,1.1,0.002,0.018,0.002,NE ,0.4,0.003,0.020,0.006,ESE,0.6
20/12/14 23:00,0.002,0.001,0.017,0.020,2.04,0.12,0.003, E ,4.1,0.001,0.015,0.021,2.07,0.12,0.002, N ,2.1,0.004,0.001,0.019,0.016,0.004, N ,0.8,0.002,0.001,0.016,0.019,0.005,NE ,2.7,0.002,0.002,0.014,0.022,2.12,0.08,0.005,NNE,3.8,0.003,0.020,0.003,SSE,0.8,0.002,0.019,0.002,NNW,1.5,0.001,0.016,0.003, E ,0.3,0.002,0.015,0.002,ESE,0.9
20/12/15 00:00,0.002,0.000,0.013,0.021,2.05,0.10,0.004,NNE,2.2,0.001,0.008,0.025,2.04,0.08,0.000, N ,2.5,0.003,0.000,0.007,0.024,0.002, N ,3.3,0.003,0.000,0.015,0.018,0.004,NE ,1.3,0.002,0.001,0.013,0.022,2.10,0.07,0.003,NNE,2.5,0.002,0.016,0.004,SW ,0.6,0.002,0.012,0.001,NNW,1.6,0.002,0.016,0.003,NE ,0.5,0.001,0.011,0.003,ENE,2.1
20/12/15 01:00,0.001,0.002,0.012,0.021,2.09,0.13,0.003,NNE,2.5,0.000,0.007,0.025,2.03,0.08,0.001, N ,2.0,0.003,0.000,0.005,0.025,0.003, N ,2.7,0.002,0.001,0.010,0.022,0.003,NW ,1.4,0.002,0.002,0.017,0.018,2.08,0.09,0.006, N ,2.6,0.004,0.014,0.003, W ,0.6,0.002,0.010,0.002,NNW,1.5,0.002,0.012,0.000,NE ,1.1,0.002,0.017,0.001, E ,0.8
20/12/15 02:00,0.002,0.002,0.012,0.021,2.13,0.14,0.002, N ,1.4,0.000,0.006,0.025,2.03,0.07,0.003, N ,1.9,0.003,0.000,0.005,0.025,0.002, N ,1.7,0.002,0.000,0.007,0.023,0.003,NW ,1.0,0.001,0.011,0.024,0.012,2.07,0.10,0.004,NNW,2.3,0.003,0.011,0.003,NW ,0.5,0.002,0.010,0.003,NNW,1.2,0.002,0.011,0.000,NE ,0.8,0.017,0.021,0.003,NNW,1.6
20/12/15 03:00,0.002,0.001,0.013,0.019,2.32,0.20,0.001, N ,1.8,0.000,0.008,0.023,2.05,0.09,0.000, N ,2.2,0.003,0.000,0.006,0.023,0.003, N ,1.7,0.002,0.001,0.009,0.021,0.001,WNW,1.2,0.001,0.009,0.026,0.010,2.07,0.11,0.004,NNW,2.0,0.006,0.015,0.003,NW ,0.7,0.002,0.011,0.002,NNW,1.2,0.005,0.011,0.000, N ,0.6,0.015,0.023,0.000,NNW,1.3
20/12/15 04:00,0.002,0.001,0.015,0.015,2.40,0.22,0.002, N ,1.5,0.000,0.009,0.022,2.04,0.08,0.001,NNW,2.4,0.003,0.000,0.006,0.022,0.001, N ,2.0,0.002,0.002,0.013,0.017,0.003,NW ,0.8,0.001,0.031,0.031,0.007,2.07,0.09,0.006,NNW,2.7,0.008,0.016,0.003,NW ,0.5,0.004,0.012,0.003,NW ,1.3,0.010,0.018,0.002,NE ,0.9,0.016,0.024,0.000,NNW,1.3
20/12/15 05:00,0.002,0.001,0.014,0.017,2.33,0.21,0.003,NNW,2.3,0.000,0.013,0.017,2.04,0.09,0.004,NNW,2.0,0.004,0.000,0.009,0.019,0.004,NNW,1.7,0.003,0.002,0.013,0.018,0.002,NW ,1.2,0.002,0.043,0.032,0.006,2.07,0.09,0.002, N ,2.1,0.037,0.031,0.003,NW ,0.6,0.003,0.015,0.004,NW ,1.2,0.019,0.020,0.002,NNE,0.6,0.025,0.029,0.001,NNW,1.5
20/12/15 06:00,0.002,0.002,0.019,0.011,2.46,0.26,0.002,NNW,2.5,0.001,0.018,0.012,2.06,0.10,0.002,NNW,1.9,0.004,0.000,0.014,0.014,0.004,NNW,1.5,0.003,0.004,0.020,0.012,0.004,WNW,1.0,0.002,0.049,0.039,0.003,2.08,0.10,0.007,NNW,1.9,0.052,0.035,0.006,NNW,0.8,0.006,0.019,0.003,NW ,1.1,0.021,0.022,0.003, N ,0.8,0.043,0.035,0.004,NNW,1.3
20/12/15 07:00,0.001,0.002,0.023,0.009,2.36,0.25,0.002,NNW,1.4,0.002,0.016,0.014,2.06,0.12,0.003,NW ,1.0,0.004,0.001,0.019,0.010,0.005,NW ,0.8,0.002,0.006,0.023,0.009,0.005,NW ,0.6,0.002,0.068,0.037,0.003,2.09,0.11,0.004,NNW,2.9,0.043,0.035,0.007,NNW,0.6,0.038,0.023,0.008,NW ,0.9,0.025,0.024,0.005,NNE,0.5,0.073,0.036,0.003,NNW,1.4
