区市町村,基標番号,所在地町名,所在地目標,所在地申請,東京湾平均海面（Ｔ．Ｐ．）ｍ,霊岸島量水標（Ａ．Ｐ．）ｍ,変動量ｍｍ,記事
目黒区,目（３）,平町二丁目３,大岡山小学校内,◎,37.8382,38.9726,-,(H25.1.1)
目黒区,目（４）,青葉台三丁目６,都・目黒地盤沈下観測所内,◎,16.9095,18.0439,+2.5,施錠
目黒区,目（５）,中町一丁目１６,油面公園内,,28.2110,29.3454,-,(H26.1.1)
大田区,（２７－１）,大森東二丁目１,ライオンズマンション平和島脇,国,1.8463,2.9807,+0.9,
大田区,（２８）,南蒲田二丁目４,Ｍ宅前,国,2.7035,3.8379,+0.3,
大田区,（２８－１）,東六郷三丁目１２,（株）山田金作商店前,国,2.8288,3.9632,-0.7,
大田区,大（３）,中央四丁目３６,生そば「越後屋」脇,,2.6418,3.7762,-0.7,
大田区,大（４）,池上一丁目３３,池上小学校内,◎,5.3641,6.4985,-1.0,
大田区,大（６）,田園調布南２９,東調布中学校内,◎,18.2143,19.3487,-,(H25.1.1)
大田区,大（７）,南雪谷五丁目１３,東調布公園内,,8.5250,9.6594,-2.5,
大田区,大（８）,中馬込一丁目１,セブンイレブン前,,31.3607,32.4951,-,(H26.1.1)
大田区,大（１０）,山王二丁目４１,（有）塩澤風呂店脇,,7.2546,8.3890,-5.0,
