№,採取日（購入日）Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリ※１Ｃａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム－１３４Ｃｅｓｉｕｍ－１３４,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム－１３７Ｃｅｓｉｕｍ－１３７,検査結果（単位：Ｂｑ／Ｋｇ）放射性セシウムセシウム合計※２Ｃｅｓｉｕｍｔｏｔａｌ,備考Ｎｏｔｅｓ
６０７,2014/9/25,2014/9/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
６０８,2014/9/25,2014/9/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,宮城県Ｍｉｙａｇｉ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
６０９,2014/9/25,2014/9/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,群馬県Ｇｕｎｍａ,はっ酵乳,発酵乳Ｆｅｒｍｅｎｔｅｄｍｉｌｋ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６１０,2014/9/25,2014/9/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,バター,バターＢｕｔｔｅｒ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
６１１,2014/9/25,2014/9/25,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,岩手県Ｉｗａｔｅ,ナチュラルチーズ,ナチュラルチーズＮａｔｕｒａｌｃｈｅｅｓｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６１２,2014/9/24,2014/9/30,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,北海道Ｈｏｋｋａｉｄｏ,サンマ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
６１３,2014/9/24,2014/9/30,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,北海道Ｈｏｋｋａｉｄｏ,マイワシ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
６１４,2014/9/24,2014/9/30,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,北海道Ｈｏｋｋａｉｄｏ,サケ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
６１５,2014/9/24,2014/9/30,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,宮城県Ｍｉｙａｇｉ,マサバ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
６１６,2014/9/24,2014/9/30,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,焼ちくわ,魚肉ねり製品Ｆｉｓｈ－ｐａｓｔｅｐｒｏｄｕｃｔｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
６１７,2014/9/24,2014/9/30,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,ボトルドウォーター,ミネラルウォーター類Ｍｉｎｅｒａｌｗａｔｅｒ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．３）ＮＤ,
６１８,2014/9/24,2014/9/30,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,ナチュラルミネラルウォーター,ミネラルウォーター類Ｍｉｎｅｒａｌｗａｔｅｒ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．２）ＮＤ,
６１９,2014/9/24,2014/9/30,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,清涼飲料水,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．３）ＮＤ,
６２０,2014/9/24,2014/9/30,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,緑茶（清涼飲料水）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．６）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．２）ＮＤ,
６２１,2014/9/24,2014/9/30,販売者Ｓｅｌｌｅｒ,東京都Ｔｏｋｙｏ,緑茶（清涼飲料水）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,飲料水Ｄｒｉｎｋｉｎｇｗａｔｅｒ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．５）ＮＤ,
６２２,2014/9/24,2014/9/30,生産・出荷者Ｆａｒｍｅｒ,群馬県Ｇｕｎｍａ,シイタケ,その他の生鮮野菜（きのこ類）Ｆｕｎｇｉ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
６２３,2014/9/24,2014/9/30,生産・出荷者Ｆａｒｍｅｒ,群馬県Ｇｕｎｍａ,マイタケ,その他の生鮮野菜（きのこ類）Ｆｕｎｇｉ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
６２４,2014/9/24,2014/9/30,生産・出荷者Ｆａｒｍｅｒ,青森県Ａｏｍｏｒｉ,ナガイモ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
６２５,2014/9/24,2014/9/30,生産・出荷者Ｆａｒｍｅｒ,茨城県Ｉｂａｒａｋｉ,サツマイモ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
６２６,2014/9/24,2014/9/30,生産・出荷者Ｆａｒｍｅｒ,新潟県Ｎｉｉｇａｔａ,チャマメ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
６２７,2014/9/24,2014/9/30,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,東京都Ｔｏｋｙｏ,塩,食塩Ｓａｌｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
６２８,2014/9/24,2014/9/30,販売者Ｓｅｌｌｅｒ,神奈川県Ｋａｎａｇａｗａ,カレー,容器包装詰加圧加熱殺菌食品Ｆｏｏｄｐａｃｋｅｄｉｎｃｏｎｔａｉｎｅｒｓａｎｄｓｔｅｒｉｌｉｚｅｄｂｙｐｒｅｓｓｕｒｉｚａｔｉｏｎａｎｄｈｅａｔｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
６２９,2014/9/24,2014/9/30,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,ブルーベリージャム,その他の果実加工品Ｏｔｈｅｒｆｒｕｉｔｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
６３０,2014/9/24,2014/9/30,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,福島県Ｆｕｋｕｓｈｉｍａ,若桃の甘露煮,その他の果実加工品Ｏｔｈｅｒｆｒｕｉｔｐｒｏｃｅｓｓｅｄｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
６３１,2014/9/24,2014/9/30,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,山形県Ｙａｍａｇａｔａ,カステラ,その他の菓子・製菓材料Ｏｔｈｅｒｃｏｎｆｅｃｔｉｏｎ，ｃｏｎｆｅｃｔｉｏｎａｒｙｍａｔｅｒｉａｌ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
６３２,2014/10/2,2014/10/3,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,青森県Ａｏｍｏｒｉ,リンゴジュース（ストレート）,その他の清涼飲料水Ｏｔｈｅｒｓｏｆｔｄｒｉｎｋｂｅｖｅｒａｇｅｓ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６３３,2014/10/2,2014/10/3,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,ノザワナしょうゆ漬,しょうゆ漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６３４,2014/10/2,2014/10/3,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,長野県Ｎａｇａｎｏ,しょうゆ漬（刻み）,しょうゆ漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６３５,2014/10/2,2014/10/3,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,山形県Ｙａｍａｇａｔａ,アツミカブ酢漬け（刻み）,酢漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６３６,2014/10/2,2014/10/3,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,新潟県Ｎｉｉｇａｔａ,たくあん漬け,たくあん漬Ｐｉｃｋｌｅｄｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６３７,2014/10/2,2014/10/3,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,北海道・青森太平洋Ｈｏｋｋａｉｄｏ・ＡｏｍｏｒｉＴｈｅＰａｃｉｆｉｃ,サンマ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６３８,2014/10/2,2014/10/3,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,三陸北部沖ｏｆｆｎｏｒｔｈｅｒｎＳａｎｒｉｋｕ,サケ切身,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６３９,2014/10/2,2014/10/3,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,宮城県Ｍｉｙａｇｉ,サワラ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
６４０,2014/10/2,2014/10/3,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,北海道・青森太平洋Ｈｏｋｋａｉｄｏ・ＡｏｍｏｒｉＴｈｅＰａｃｉｆｉｃ,モウカザメ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６４１,2014/10/2,2014/10/3,採取地Ｓａｍｐｌｉｎｇｐｏｉｎｔ,三陸北部沖ｏｆｆｎｏｒｔｈｅｒｎＳａｎｒｉｋｕ,カツオ,その他の鮮魚介類Ｆｒｅｓｈｆｉｓｈａｎｄｓｈｅｌｌｆｉｓｈ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６４２,2014/10/1,2014/10/9,生産・出荷者Ｆａｒｍｅｒ,山梨県Ｙａｍａｎａｓｈｉ,ナス,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
６４３,2014/10/1,2014/10/9,生産・出荷者Ｆａｒｍｅｒ,青森県Ａｏｍｏｒｉ,ゴボウ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
６４４,2014/10/1,2014/10/9,生産・出荷者Ｆａｒｍｅｒ,長野県Ｎａｇａｎｏ,ズッキーニ,ウリ科野菜Ｃｕｃｕｒｂｉｔａｃｅｏｕｓｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
６４５,2014/10/1,2014/10/9,生産・出荷者Ｆａｒｍｅｒ,群馬県Ｇｕｎｍａ,キャベツ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
６４６,2014/10/1,2014/10/9,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,栃木県Ｔｏｃｈｉｇｉ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．５）ＮＤ,検出せず（＜０．６）ＮＤ,検出せず（＜１．１）ＮＤ,
６４７,2014/10/1,2014/10/9,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,神奈川県Ｋａｎａｇａｗａ,乳飲料,乳飲料Ｍｉｌｋｄｒｉｎｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．４）ＮＤ,検出せず（＜０．９）ＮＤ,検出せず（＜１．３）ＮＤ,
６４８,2014/10/1,2014/10/9,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,埼玉県Ｓａｉｔａｍａ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．５）ＮＤ,検出せず（＜１．２）ＮＤ,
６４９,2014/10/1,2014/10/9,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,千葉県Ｃｈｉｂａ,牛乳,牛乳Ｃｏｗ’ｓｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．８）ＮＤ,検出せず（＜０．５）ＮＤ,検出せず（＜１．３）ＮＤ,
６５０,2014/10/1,2014/10/9,製造者Ｍａｎｕｆａｃｔｕｒｅｒ,神奈川県Ｋａｎａｇａｗａ,成分調整牛乳,成分調整牛乳Ｃｏｍｐｏｓｉｔｉｏｎｍｏｄｉｆｉｅｄｍｉｌｋ,牛乳Ｍｉｌｋ,Ｇｅ,検出せず（＜０．７）ＮＤ,検出せず（＜０．７）ＮＤ,検出せず（＜１．４）ＮＤ,
６５１,2014/10/1,2014/10/9,生産・出荷者Ｆａｒｍｅｒ,茨城県Ｉｂａｒａｋｉ,レンコン,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１３）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,
６５２,2014/10/1,2014/10/9,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,イチゴジャム（プレザーブスタイル）,その他の菓子・製菓材料Ｏｔｈｅｒｃｏｎｆｅｃｔｉｏｎ，ｃｏｎｆｅｃｔｉｏｎａｒｙｍａｔｅｒｉａｌ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イギリスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：ＵｎｉｔｅｄＫｉｎｇｄｏｍ
６５３,2014/10/1,2014/10/9,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ブルーベリージャム（プレザーブスタイル）,その他の菓子・製菓材料Ｏｔｈｅｒｃｏｎｆｅｃｔｉｏｎ，ｃｏｎｆｅｃｔｉｏｎａｒｙｍａｔｅｒｉａｌ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イギリスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：ＵｎｉｔｅｄＫｉｎｇｄｏｍ
６５４,2014/10/1,2014/10/9,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,マーマレード,その他の菓子・製菓材料Ｏｔｈｅｒｃｏｎｆｅｃｔｉｏｎ，ｃｏｎｆｅｃｔｉｏｎａｒｙｍａｔｅｒｉａｌ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イギリスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：ＵｎｉｔｅｄＫｉｎｇｄｏｍ
６５５,2014/10/1,2014/10/9,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ショウガジャム（プレザーブスタイル）,その他の菓子・製菓材料Ｏｔｈｅｒｃｏｎｆｅｃｔｉｏｎ，ｃｏｎｆｅｃｔｉｏｎａｒｙｍａｔｅｒｉａｌ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イギリスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：ＵｎｉｔｅｄＫｉｎｇｄｏｍ
６５６,2014/10/1,2014/10/9,輸入者Ｉｍｐｏｒｔｅｒ,神奈川県Ｋａｎａｇａｗａ,スープ,その他の食品Ｏｔｈｅｒｆｏｏｄ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：スペインＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｓｐａｉｎ
６５７,2014/10/1,2014/10/9,輸入者Ｉｍｐｏｒｔｅｒ,愛知県Ａｉｃｈｉ,スパゲティーニ,その他のめん類Ｏｔｈｅｒｎｏｏｄｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
６５８,2014/10/1,2014/10/9,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ブラックオリーブ（種無し）,その他の農産物加工品Ｏｔｈｅｒｐｒｏｃｅｓｓｅｄｆａｒｍｐｒｏｄｕｃｔ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,原産国：スペインＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｓｐａｉｎ
６５９,2014/10/1,2014/10/9,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ロブスターパテ,その他のそうざい類Ｒｅａｄｙｔｏｅａｔｆｏｏｄ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,原産国：フランスＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｆｒａｎｃｅ
６６０,2014/10/1,2014/10/9,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,乳化液状ドレッシング,ドレッシングＤｒｅｓｓｉｎｇ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１１）ＮＤ,検出せず（＜２５）ＮＤ,原産国：ドイツＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｇｅｒｍａｎｙ
６６１,2014/10/1,2014/10/9,輸入者Ｉｍｐｏｒｔｅｒ,東京都Ｔｏｋｙｏ,ブドウ酢,酢Ｖｉｎｅｇａｒ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,原産国：イタリアＣｏｕｎｔｒｙｏｆｏｒｉｇｉｎ：Ｉｔａｌｙ
６６２,2014/10/9,2014/10/10,生産・出荷者Ｆａｒｍｅｒ,千葉県Ｃｈｉｂａ,サトイモ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１２）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
６６３,2014/10/9,2014/10/10,生産・出荷者Ｆａｒｍｅｒ,青森県Ａｏｍｏｒｉ,ナガイモ,その他の生鮮野菜Ｏｔｈｅｒｆｒｅｓｈｖｅｇｅｔａｂｌｅ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜１０）ＮＤ,検出せず（＜２５）ＮＤ,
６６４,2014/10/9,2014/10/10,生産・出荷者Ｆａｒｍｅｒ,長野県Ｎａｇａｎｏ,エリンギ,その他の生鮮野菜（きのこ類）Ｆｕｎｇｉ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１０）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
６６５,2014/10/9,2014/10/10,生産・出荷者Ｆａｒｍｅｒ,長野県Ｎａｇａｎｏ,ナメコ,その他の生鮮野菜（きのこ類）Ｆｕｎｇｉ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜１１）ＮＤ,検出せず（＜９）ＮＤ,検出せず（＜２５）ＮＤ,
６６６,2014/10/9,2014/10/10,生産・出荷者Ｆａｒｍｅｒ,長野県Ｎａｇａｎｏ,ブナシメジ,その他の生鮮野菜（きのこ類）Ｆｕｎｇｉ,一般食品Ｇｅｎｅｒａｌｆｏｏｄｓ,ＮａＩ,検出せず（＜９）ＮＤ,検出せず（＜８）ＮＤ,検出せず（＜２５）ＮＤ,
