№,採取日（購入日）Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
1025,2014/1/27,2014/1/31,製造者Manufacturer,北海道Hokkaidou,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7)ND,検出せず(<0.8)ND,検出せず(<1.5) ND,―
1026,2014/1/27,2014/1/31,製造者Manufacturer,長野県Nagano,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.5)ND,検出せず(<0.5)ND,検出せず(<1.0) ND,―
1027,2014/1/27,2014/1/31,製造者Manufacturer,長野県Nagano,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.5) ND,検出せず(<0.5)ND,検出せず(<1.0) ND,―
1028,2014/1/27,2014/1/31,製造者Manufacturer,北海道Hokkaidou,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7)ND,検出せず(<0.6)ND,検出せず(<1.3) ND,―
1029,2014/2/3,2014/2/7,生産・出荷者Farmer,埼玉県Saitama,ネギ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
1030,2014/2/3,2014/2/7,生産・出荷者Farmer,埼玉県Saitama,ハクサイ,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
1031,2014/2/3,2014/2/7,生産・出荷者Farmer,栃木県Tochigi,トマト,その他の生鮮野菜Other fresh vegetable,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
1032,2014/2/3,2014/2/7,生産・出荷者Farmer,山形県Yamagata,セイヨウナシ,その他の生鮮果実Other fresh fruit,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
1033,2014/2/3,2014/2/7,生産・出荷者Farmer,青森県Aomori,リンゴ,リンゴApple,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
1034,2014/2/3,2014/2/7,販売者　　　　Seller,大阪府Osaka,そうざい,未加熱そうざいReady to eat food,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)　 ND,検出せず(<25) ND,―
1035,2014/2/3,2014/2/7,製造者Manufacturer,長崎県Nagasaki,チルドミートボール,加熱食肉製品（包装後加熱）Heated meat products (sterilized after being packed in package),一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
1036,2014/2/3,2014/2/7,販売者　　　　Seller,東京都Tokyo,そうざい(フライドチキン),未加熱そうざいReady to eat food,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
1037,2014/2/3,2014/2/7,製造者Manufacturer,千葉県Chiba,チルドミートボール(チキン),加熱食肉製品（包装後加熱）Heated meat products (sterilized after being packed in package),一般食品　General foods,NaI,検出せず(<12) ND,検出せず(<10)ND,検出せず(<25) ND,―
1038,2014/2/3,2014/2/7,販売者　　　　Seller,大阪府Osaka,ウインナーソーセージ,加熱食肉製品（加熱後包装）Heated meat products (packed in package after being heat-sterilized),一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
1039,2014/2/3,2014/2/7,加工者　Processor,山形県Yamagata,豆菓子,豆類の加工品Bean product,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,―
1040,2014/2/3,2014/2/7,製造者Manufacturer,北海道Hokkaidou,スイートコーン・ドライパック,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,―
1041,2014/2/3,2014/2/7,製造者Manufacturer,長野県Nagano,あまざけ,その他の清涼飲料水Other soft drink beverages,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
1042,2014/2/3,2014/2/7,製造者Manufacturer,鹿児島県Kagoshima,油菓子,"その他の菓子・製菓材料Other confection, confectionary material",一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25) ND,―
1043,2014/2/3,2014/2/7,販売者　　　　Seller,東京都Tokyo,ハンバーグ(ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<4)ND,検出せず(<4)ND,検出せず(<8) ND,―
1044,2014/2/3,2014/2/7,製造者Manufacturer,埼玉県Saitama,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.6)ND,検出せず(<0.6)　 ND,検出せず(<1.2) ND,―
1045,2014/2/3,2014/2/7,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.4)ND,検出せず(<0.9)ND,検出せず(<1.3) ND,―
1046,2014/2/3,2014/2/7,販売者　　　　Seller,東京都Tokyo,清涼飲料水(ベビーフード),その他の清涼飲料水Other soft drink beverages,乳児用食品　Infant foods,Ge,検出せず(<4)ND,検出せず(<4)ND,検出せず(<8) ND,―
1047,2014/2/3,2014/2/7,販売者　　　　Seller,東京都Tokyo,魚介煮物(ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<4) ND,検出せず(<4)ND,検出せず(<8) ND,―
1048,2014/2/3,2014/2/7,製造者Manufacturer,東京都Tokyo,調整粉乳(ベビーフード),調整粉乳Formulated milk powder,乳児用食品　Infant foods,Ge,検出せず(<0.9)ND,検出せず(<1.2)ND,検出せず(<2.1) ND,―
1049,2014/2/6,2014/2/7,採取地　　Sampling point,青森県Aomori,ソイ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
1050,2014/2/6,2014/2/7,採取地　　Sampling point,千葉県Chiba,サバ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
1051,2014/2/6,2014/2/7,採取地　　Sampling point,千葉県Chiba,ブリ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
1052,2014/2/6,2014/2/7,採取地　　Sampling point,青森県Aomori,タラ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
1053,2014/2/6,2014/2/7,採取地　　Sampling point,青森県Aomori,カワハギ,その他の鮮魚介類Fresh fish and shellfish,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
1054,2014/2/6,2014/2/7,製造者Manufacturer,神奈川県Kanagawa,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)　 ND,検出せず(<25) ND,―
1055,2014/2/6,2014/2/7,製造者Manufacturer,福島県Fukushima,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
1056,2014/2/6,2014/2/7,製造者Manufacturer,茨城県Ibaraki,はっ酵乳,発酵乳Fermented milk,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(8)ND,検出せず(<25) ND,―
1057,2014/2/6,2014/2/13,製造者Manufacturer,埼玉県Saitama,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.6)ND,検出せず(<0.8)ND,検出せず(<1.4) ND,―
1058,2014/2/6,2014/2/13,製造者Manufacturer,東京都Tokyo,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<4)ND,検出せず(<4)ND,検出せず(<8) ND,―
1059,2014/2/10,2014/2/13,製造者Manufacturer,群馬県Gunma,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7)ND,検出せず(<0.5)ND,検出せず(<1.2) ND,―
1060,2014/2/10,2014/2/13,製造者Manufacturer,北海道Hokkaidou,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.6)ND,検出せず(<0.8)ND,検出せず(<1.4) ND,―
1061,2014/2/10,2014/2/13,製造者Manufacturer,茨城県Ibaraki,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.9)ND,検出せず(<0.7)ND,検出せず(<1.6) ND,―
1062,2014/2/10,2014/2/13,製造者Manufacturer,茨城県Ibaraki,乳飲料,乳飲料Milk drink,牛乳　　  　 　 　Milk,Ge,検出せず(<0.6)ND,検出せず(<0.5)　 ND,検出せず(<1.1) ND,―
1063,2014/2/10,2014/2/13,製造者Manufacturer,神奈川県Kanagawa,低脂肪牛乳,低脂肪牛乳Low fat milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.7)ND,検出せず(<0.9)ND,検出せず(<1.6) ND,―
1064,2014/2/10,2014/2/13,製造者Manufacturer,岩手県Iwate,牛乳,牛乳Cow's milk,牛乳　　  　 　 　Milk,Ge,検出せず(<0.8)ND,検出せず(<0.9)ND,検出せず(<1.7) ND,―
1065,2014/2/10,2014/2/13,製造者Manufacturer,千葉県Chiba,チルドしゅうまい,加熱済みそうざいReady to eat food,一般食品　General foods,NaI,検出せず(<11) ND,検出せず(<10)ND,検出せず(<25) ND,―
1066,2014/2/10,2014/2/13,製造者Manufacturer,北海道Hokkaidou,しゅうまい,加熱後摂取冷凍食品(凍結前加熱)Frozen food to be consumed after heating,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
1067,2014/2/10,2014/2/13,販売者　　　　Seller,東京都Tokyo,ニョッキ入りチーズクリームソース,加熱後摂取冷凍食品(凍結前未加熱)Frozen food to be consumed after heating,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
1068,2014/2/10,2014/2/13,製造者Manufacturer,東京都Tokyo,チキンライス,加熱後摂取冷凍食品(凍結前未加熱)Frozen food to be consumed after heating,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
1069,2014/2/13,2014/2/14,製造者Manufacturer,東京都Tokyo,白菜塩漬,塩漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
1070,2014/2/13,2014/2/14,製造者Manufacturer,東京都Tokyo,きゅうり塩漬,塩漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
1071,2014/2/13,2014/2/14,製造者Manufacturer,長野県Nagano,えのき茸・味付,その他の農作物加工品(きのこ類)Other processed fungi product,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
1072,2014/2/13,2014/2/14,製造者Manufacturer,愛知県Aichi,トマトピューレ,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)　 ND,検出せず(<25) ND,―
1073,2014/2/13,2014/2/14,製造者Manufacturer,群馬県Gunma,板こんにゃく,その他の野菜加工品Other vegetable processed product,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<8)ND,検出せず(<25) ND,―
1074,2014/2/13,2014/2/14,製造者Manufacturer,群馬県Gunma,ゆでうどん,ゆでめん類Boiled noodle,一般食品　General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25) ND,―
1075,2014/2/13,2014/2/14,製造者Manufacturer,長野県Nagano,米みそ,みそFermented bean (miso),一般食品　General foods,NaI,検出せず(<8) ND,検出せず(<7)ND,検出せず(<25) ND,―
1076,2014/2/13,2014/2/14,販売者　　　　Seller,長野県Nagano,米飯類(かゆ),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,一般食品　General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25) ND,―
1077,2014/2/13,2014/2/14,製造者Manufacturer,千葉県Chiba,上新粉,その他の穀類加工品Other grain product,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
1078,2014/2/13,2014/2/14,製造者Manufacturer,東京都Tokyo,米こうじ,その他の穀類加工品Other grain product,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25) ND,―
1079,2014/2/17,2014/2/21,輸入者　　　Importer,東京都Tokyo,ブラックオリーブ(ホール)・塩漬,塩漬Pickled vegetable,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25) ND,原産国：スペインCountry of origin：Spain
1080,2014/2/17,2014/2/21,輸入者　　　Importer,東京都Tokyo,セミドライトマトの油漬け,無加熱摂取冷凍食品Frozen food to be consumed without heating,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
1081,2014/2/17,2014/2/21,輸入者　　　Importer,東京都Tokyo,カシス(黒すぐり)ジャム,その他の果実加工品Other fruit processed product,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
1082,2014/2/17,2014/2/21,輸入者　　　Importer,東京都Tokyo,ルバーブ(大黄)ジャム,その他の果実加工品Other fruit processed product,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
1083,2014/2/17,2014/2/21,輸入者　　　Importer,東京都Tokyo,冷凍果実(クランベリー)ホール,冷凍果実Frozen fruit,一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25) ND,原産国：スウェーデンCountry of origin：Sweden
1084,2014/2/17,2014/2/21,輸入者　　　Importer,東京都Tokyo,ハト肉,その他の食肉Other meats,一般食品　General foods,Ge,検出せず(<3)ND,検出せず(<4)　 ND,検出せず(<7) ND,原産国：フランスCountry of origin：France
1085,2014/2/17,2014/2/21,輸入者　　　Importer,東京都Tokyo,冷凍豚肉・ホホ肉,豚肉Pork,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,原産国：スペインCountry of origin：Spain
1086,2014/2/17,2014/2/21,輸入者　　　Importer,東京都Tokyo,ウサギ肉,その他の食肉Other meats,一般食品　General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25) ND,原産国：ハンガリーCountry of origin：Hungary
1087,2014/2/17,2014/2/21,輸入者　　　Importer,東京都Tokyo,鴨肉,その他の食肉Other meats,一般食品　General foods,Ge,検出せず(<5) ND,検出せず(<3)ND,検出せず(<8) ND,原産国：フランスCountry of origin：France
1088,2014/2/17,2014/2/21,輸入者　　　Importer,東京都Tokyo,鴨肉,その他の食肉Other meats,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,原産国：フランスCountry of origin：France
1089,2014/2/17,2014/2/21,製造者Manufacturer,香川県Kagawa,干しうどん,その他のめん類Other noodle,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
1090,2014/2/17,2014/2/21,製造者Manufacturer,北海道Hokkaidou,干しそば,その他のめん類Other noodle,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
1091,2014/2/17,2014/2/21,製造者Manufacturer,群馬県Gunma,こんにゃく,その他の農産物加工品Other processed farm product,一般食品　General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25) ND,―
1092,2014/2/17,2014/2/21,製造者Manufacturer,長野県Nagano,米みそ,みそFermented bean (miso),一般食品　General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25) ND,―
1093,2014/2/17,2014/2/21,販売者　　　　Seller,兵庫県Hyogo,ほうじ茶(清涼飲料水)(ベビーフード),その他の清涼飲料水Other soft drink beverages,飲料水　   Drinking water,Ge,検出せず(<0.7)ND,検出せず(<0.5)ND,検出せず(<1.2) ND,―
1094,2014/2/17,2014/2/21,販売者　　　　Seller,東京都Tokyo,米飯類(ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<4)ND,検出せず(<4)　 ND,検出せず(<8) ND,―
1095,2014/2/17,2014/2/21,販売者　　　　Seller,東京都Tokyo,調理めん類(ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<5)ND,検出せず(<4)ND,検出せず(<9) ND,―
1096,2014/2/17,2014/2/21,販売者　　　　Seller,東京都Tokyo,野菜煮物（ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<4)ND,検出せず(<3)ND,検出せず(<7) ND,―
1097,2014/2/17,2014/2/21,販売者　　　　Seller,北海道Hokkaidou,煮込みうどん(ベビーフード),容器包装詰加圧加熱殺菌食品Food packed in containers and sterilized by pressurization and ｈeating,乳児用食品　Infant foods,Ge,検出せず(<3) ND,検出せず(<3)ND,検出せず(<6) ND,―
1098,2014/2/17,2014/2/21,販売者　　　　Seller,東京都Tokyo,米飯類(ベビーフード),弁当類Ready to eat food,乳児用食品　Infant foods,Ge,検出せず(<3)ND,検出せず(<4)ND,検出せず(<7) ND,―
1099,2014/2/20,2014/2/24,製造者Manufacturer,青森県Aomori,りんごジュース(ストレート),その他の清涼飲料水Other soft drink beverages,一般食品　General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25) ND,―
