№,採取日(購入日)Ｓａｍｐｌｉｎｇｄａｔｅ,結果判明日Ｒｅｓｕｌｔｓｏｂｔａｉｎｅｄｄａｔｅ,生産者・製造者・販売者・輸入者等の別Ｆａｒｍｅｒ／Ｍａｎｕｆａｃｔｕｒｅｒ／Ｓｅｌｌｅｒ／Ｉｍｐｏｒｔｅｒ,左記の所在地Ｌｏｃａｔｉｏｎ,品目（Ｉｔｅｍｎａｍｅ）,食品分類Ｃｌａｓｓｉｆｉｃａｔｉｏｎ,食品カテゴリＣａｔｅｇｏｒｙ,検査機器Ｉｎｓｐｅｃｔｉｏｎｉｎｓｔｒｕｍｅｎｔ,検査結果：セシウム－１３４（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３４,検査結果：セシウム－１３７（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ－１３７,検査結果：セシウム合計（単位：Ｂｑ／Ｋｇ）Ｒｅｓｕｌｔｓ：Ｃｅｓｉｕｍ(ｔｏｔａｌ),備考Ｎｏｔｅｓ
689,2015/10/14,2015/10/23,製造者Manufacturer,東京都Tokyo,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.9)ND,検出せず(<0.4)ND,検出せず(<1.3)ND,―
690,2015/10/14,2015/10/23,製造者Manufacturer,東京都Tokyo,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.6)ND,検出せず(<1.4)ND,―
691,2015/10/14,2015/10/23,加工者Processor,東京都Tokyo,鶏肉,食鳥肉Poultry meat,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
692,2015/10/14,2015/10/23,選別包装者Grading packager,群馬県Gunma,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
693,2015/10/14,2015/10/23,選別包装者Grading packager,茨城県Ibaraki,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
694,2015/10/14,2015/10/23,選別包装者Grading packager,茨城県Ibaraki,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
695,2015/10/14,2015/10/23,選別包装者Grading packager,茨城県Ibaraki,鶏卵,鶏卵Poultry eggs,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
696,2015/10/14,2015/10/23,販売者Seller,東京都Tokyo,サバ味噌煮,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
697,2015/10/14,2015/10/23,販売者Seller,東京都Tokyo,イワシ煮付,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
698,2015/10/14,2015/10/23,販売者Seller,東京都Tokyo,サバ味噌煮,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
699,2015/10/14,2015/10/23,販売者Seller,東京都Tokyo,サンマ煮付,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
700,2015/10/14,2015/10/23,製造者Manufacturer,北海道Hokkaido,鮭フレーク,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
701,2015/10/22,2015/10/23,生産・出荷者Farmer,千葉県Chiba,ヤマトイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
702,2015/10/22,2015/10/23,生産・出荷者Farmer,埼玉県Saitama,サトイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
703,2015/10/22,2015/10/23,生産・出荷者Farmer,秋田県Akita,シイタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<8)ND,検出せず(<25)ND,―
704,2015/10/22,2015/10/23,生産・出荷者Farmer,長野県Nagano,エリンギ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
705,2015/10/22,2015/10/23,生産・出荷者Farmer,岩手県Iwate,ダイズ,その他の豆類乾燥品Other dried bean,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<9)ND,検出せず(<25)ND,―
706,2015/10/22,2015/10/23,製造者Manufacturer,群馬県Gunma,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
707,2015/10/22,2015/10/23,製造者Manufacturer,長野県Nagano,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
708,2015/10/22,2015/10/23,製造者Manufacturer,埼玉県Saitama,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
709,2015/10/22,2015/10/23,製造者Manufacturer,東京都Tokyo,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
710,2015/10/22,2015/10/23,製造者Manufacturer,山梨県Yamanashi,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
711,2015/10/21,2015/10/27,販売者Seller,千葉県Chiba,サバ味噌煮,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
712,2015/10/21,2015/10/27,製造者Manufacturer,岩手県Iwate,鮭フレーク,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
713,2015/10/21,2015/10/27,製造者Manufacturer,埼玉県Saitama,塩蔵ワカメ,その他の食品Other food,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
714,2015/10/21,2015/10/27,製造者Manufacturer,静岡県Shizuoka,カツオなまりぶし,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
715,2015/10/21,2015/10/27,販売者Seller,東京都Tokyo,サンマ塩焼,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
716,2015/10/21,2015/10/27,生産・出荷者Farmer,栃木県Tochigi,シュンギク,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
717,2015/10/21,2015/10/27,生産・出荷者Farmer,茨城県Ibaraki,ピーマン,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
718,2015/10/21,2015/10/27,生産・出荷者Farmer,茨城県Ibaraki,キュウリ,ウリ科野菜Cucurbitaceous vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
719,2015/10/21,2015/10/27,生産・出荷者Farmer,埼玉県Saitama,ホウレンソウ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
720,2015/10/21,2015/10/27,生産・出荷者Farmer,千葉県Chiba,ニンジン,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
721,2015/10/21,2015/10/27,生産・出荷者Farmer,長野県Nagano,ブナシメジ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
722,2015/10/21,2015/10/27,生産・出荷者Farmer,埼玉県Saitama,ヤマトイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
723,2015/10/21,2015/10/27,生産・出荷者Farmer,千葉県Chiba,サトイモ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
724,2015/10/21,2015/10/27,生産・出荷者Farmer,長野県Nagano,エノキタケ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
725,2015/10/21,2015/10/27,生産・出荷者Farmer,長野県Nagano,エリンギ,その他の生鮮野菜(きのこ類)Fungi,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
726,2015/10/21,2015/10/27,採取地Sampling point,北海道・青森県沖太平洋Hokkaido・Aomori The Pacific,スルメイカ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
727,2015/10/21,2015/10/27,採取地Sampling point,房総沖off Boso,マアジ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
728,2015/10/21,2015/10/27,採取地Sampling point,北海道・青森県沖太平洋Hokkaido・Aomori The Pacific,マイワシ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
729,2015/10/21,2015/10/27,採取地Sampling point,北海道・青森県沖太平洋Hokkaido・Aomori The Pacific,サンマ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
730,2015/10/21,2015/10/27,採取地Sampling point,北海道Hokkaido,アサバガレイ,その他の鮮魚介類Fresh fish and shellfish,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
731,2015/10/28,2015/11/5,製造者Manufacturer,長野県Nagano,ブルーベリージャム,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
732,2015/10/28,2015/11/5,製造者Manufacturer,長野県Nagano,モモジャム,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
733,2015/10/28,2015/11/5,製造者Manufacturer,青森県Aomori,リンゴジュース（ストレート）,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
734,2015/10/28,2015/11/5,販売者Seller,長野県Nagano,トマトジュース,その他の野菜加工品Other vegetable processed product,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
735,2015/10/28,2015/11/5,販売者Seller,埼玉県Saitama,塩漬,塩漬Pickled vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
736,2015/10/28,2015/11/5,製造者Manufacturer,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.7)ND,検出せず(<0.3)ND,検出せず(<1)ND,―
737,2015/10/28,2015/11/5,製造者Manufacturer,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.6)ND,検出せず(<0.7)ND,検出せず(<1.3)ND,―
738,2015/10/28,2015/11/5,製造者Manufacturer,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.7)ND,検出せず(<0.5)ND,検出せず(<1.2)ND,―
739,2015/10/28,2015/11/5,販売者Seller,東京都Tokyo,緑茶（清涼飲料水）,その他の清涼飲料水Other soft drink beverages,飲料水Drinking water,Ge,検出せず(<0.5)ND,検出せず(<0.8)ND,検出せず(<1.3)ND,―
740,2015/10/28,2015/11/5,販売者Seller,東京都Tokyo,緑茶（清涼飲料水）,その他の清涼飲料水Other soft drink beverages,飲料水Drinking water,Ge,検出せず(<0.8)ND,検出せず(<0.6)ND,検出せず(<1.4)ND,―
741,2015/10/28,2015/11/5,製造者Manufacturer,栃木県Tochigi,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.8)ND,検出せず(<0.7)ND,検出せず(<1.5)ND,―
742,2015/10/28,2015/11/5,製造者Manufacturer,北海道Hokkaido,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.4)ND,検出せず(<0.9)ND,検出せず(<1.3)ND,―
743,2015/10/28,2015/11/5,製造者Manufacturer,北海道Hokkaido,牛乳,牛乳Cow's milk,牛乳Milk,Ge,検出せず(<0.6)ND,検出せず(<1.0)ND,検出せず(<1.6)ND,―
744,2015/10/28,2015/11/5,製造者Manufacturer,埼玉県Saitama,加工乳（常温保存可能品）,加工乳Processed milk,牛乳Milk,Ge,検出せず(<0.7)ND,検出せず(<1.0)ND,検出せず(<1.7)ND,―
745,2015/10/28,2015/11/5,製造者Manufacturer,神奈川県Kanagawa,乳飲料,乳飲料Milk drink,牛乳Milk,Ge,検出せず(<0.9)ND,検出せず(<0.9)ND,検出せず(<1.8)ND,―
746,2015/10/28,2015/11/5,製造者Manufacturer,新潟県Niigata,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
747,2015/10/28,2015/11/5,製造者Manufacturer,北海道Hokkaido,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
748,2015/10/28,2015/11/5,製造者Manufacturer,東京都Tokyo,発酵乳,発酵乳Fermented milk,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
749,2015/10/28,2015/11/5,製造者Manufacturer,千葉県Chiba,ナチュラルチーズ,ナチュラルチーズNatural cheese,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
750,2015/10/28,2015/11/5,販売者Seller,東京都Tokyo,脱脂粉乳,脱脂粉乳Skimmed milk powder,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
751,2015/11/5,2015/11/6,製造者Manufacturer,長野県Nagano,イチゴスプレッド,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
752,2015/11/5,2015/11/6,製造者Manufacturer,茨城県Ibaraki,干芋,その他の野菜加工品Other vegetable processed product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
753,2015/11/5,2015/11/6,販売者Seller,静岡県Shizuoka,黄モモ・シラップづけ（ヘビー）,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
754,2015/11/5,2015/11/6,販売者Seller,静岡県Shizuoka,白モモ・シラップづけ（ヘビー）,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
755,2015/11/5,2015/11/6,製造者Manufacturer,長野県Nagano,エノキタケ味付,その他の農産物加工品(きのこ類)Other processed fungi product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
756,2015/11/5,2015/11/6,製造者Manufacturer,長野県Nagano,ブルーベリースプレッド,その他の果実加工品Other fruit processed product,一般食品General foods,NaI,検出せず(<8)ND,検出せず(<7)ND,検出せず(<25)ND,―
757,2015/11/5,2015/11/6,製造者Manufacturer,長野県Nagano,エノキタケ味付,その他の農産物加工品(きのこ類)Other processed fungi product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<8)ND,検出せず(<25)ND,―
758,2015/11/5,2015/11/6,製造者Manufacturer,群馬県Gunma,コンニャク,その他の農産物加工品Other processed farm product,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
759,2015/11/5,2015/11/6,販売者Seller,東京都Tokyo,コンニャク,その他の農産物加工品Other processed farm product,一般食品General foods,NaI,検出せず(<9)ND,検出せず(<8)ND,検出せず(<25)ND,―
760,2015/11/5,2015/11/6,製造者Manufacturer,秋田県Akita,たくあん漬,たくあん漬Pickled vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
761,2015/11/4,2015/11/10,生産・出荷者Farmer,千葉県Chiba,ダイコン,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<10)ND,検出せず(<9)ND,検出せず(<25)ND,―
762,2015/11/4,2015/11/10,生産・出荷者Farmer,群馬県Gunma,ホウレンソウ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
763,2015/11/4,2015/11/10,生産・出荷者Farmer,茨城県Ibaraki,ハクサイ,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
764,2015/11/4,2015/11/10,生産・出荷者Farmer,埼玉県Saitama,ブロッコリー,その他の生鮮野菜Other fresh vegetable,一般食品General foods,NaI,検出せず(<11)ND,検出せず(<10)ND,検出せず(<25)ND,―
765,2015/11/4,2015/11/10,生産・出荷者Farmer,青森県Aomori,ブドウ,その他の生鮮果実Other fresh fruit,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
766,2015/11/4,2015/11/10,製造者Manufacturer,宮城県Miyagi,イカ塩辛,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
767,2015/11/4,2015/11/10,加工者Processor,宮城県Miyagi,干しするめ,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<10)ND,検出せず(<25)ND,―
768,2015/11/4,2015/11/10,製造者Manufacturer,愛知県Aichi,煮干,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
769,2015/11/4,2015/11/10,製造者Manufacturer,青森県Aomori,サバ味噌煮,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<13)ND,検出せず(<11)ND,検出せず(<25)ND,―
770,2015/11/4,2015/11/10,製造者Manufacturer,新潟県Niigata,鮭フレーク魚卵入り,その他の魚介類加工品Other fish products,一般食品General foods,NaI,検出せず(<12)ND,検出せず(<11)ND,検出せず(<25)ND,―
771,2015/11/4,2015/11/10,製造者Manufacturer,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.7)ND,検出せず(<0.7)ND,検出せず(<1.4)ND,―
772,2015/11/4,2015/11/10,販売者Seller,富山県Toyama,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.5)ND,検出せず(<0.6)ND,検出せず(<1.1)ND,―
773,2015/11/4,2015/11/10,製造者Manufacturer,東京都Tokyo,ナチュラルミネラルウォーター,ミネラルウォーター類Mineral water,飲料水Drinking water,Ge,検出せず(<0.5)ND,検出せず(<0.6)ND,検出せず(<1.1)ND,―
