"施設名称","施設郵便番号","施設所在地","施設方書","確認日","確認番号"
"～Ｌｅ　Ｒａｖｅ～（ルレーヴ）","106-0045","東京都港区麻布十番一丁目11番1号","エスティメゾン麻布十番 804","2015/2/27","26港み生環き第199号"
"ＡＤＤ　ａｚａｂｕ（アドアザブ）","106-0045","東京都港区麻布十番二丁目1番8号","グランドメゾン麻布十番館108","2008/9/12","20港み生環き第85号"
"ヴィヴァーチェ麻布十番","106-0045","東京都港区麻布十番二丁目1番10号","Azabu-You 3階","2010/4/22","22港み生環き第16号"
"Ｅｙｅｌａｓｈ　Ｂｒａｎｃｈ（アイラッシュ　ブランチ）","106-0045","東京都港区麻布十番二丁目2番8号","麻布十番クラウンビル 3階","2017/10/11","29港み生環き第112号"
"エストラッシュ麻布十番店","106-0045","東京都港区麻布十番二丁目3番6号","FLEG麻布十番Primo 6階","2011/6/22","23港み生環き第31号"
"ａＲｉｅｔｔａ（アリエッタ）","106-0045","東京都港区麻布十番二丁目3番6号","FLEG麻布十番Primo 7階、8階","2017/10/4","29港み生環き第114号"
"十色～ＡＺＡＢＵＪＵＢＡＮ～麻布十番店","106-0045","東京都港区麻布十番二丁目3番7号","グリーンコート麻布十番 402","2022/11/2","4港み生環き第123号"
"ＲＵＭＯＲ（ルモア）","106-0045","東京都港区麻布十番二丁目3番8号","OTMビル 3階","2015/5/1","27港み生環き第11号"
"美髪再生サロンＲ","106-0045","東京都港区麻布十番二丁目3番8号","OTMビル 4階","2019/12/25","31港み生環き第198号"
"Ｂｅａｕｔｙｓａｌｏｎ　Ｌｕｃｉａ（ビューティサロンルシア）","106-0045","東京都港区麻布十番二丁目4番6号","銀水ビル 4階","2016/4/6","27港み生環き第233号"
"ヘアーディグリーズ","106-0045","東京都港区麻布十番二丁目4番8号","麻布十番館3階","2018/8/30","30港み生環き第72号"
"六本木ビューティメイク","106-0045","東京都港区麻布十番二丁目4番15号","イラーレ麻布十番 7階","2013/11/25","25港み生環き第137号"
"Ａｓｔｙｌｅ麻布十番（エースタイルアザブジュウバン）","106-0045","東京都港区麻布十番二丁目5番2号","JMNビル 3階","2012/11/14","24港み生環き第122号"
"フラムリングス麻布","106-0045","東京都港区麻布十番二丁目5番2号","JMNビル2階","2020/12/15","2港み生環き第170号"
"Ｆａｉｒｙ（フェアリー）","106-0045","東京都港区麻布十番二丁目5番9号","クロスビル 2階","2011/11/2","23港み生環き第80号"
"Ｐａｌｍａｒｏｓａ　Ｐｌａｔｉｎｕｍ（パルマローザ　プラチナム）","106-0045","東京都港区麻布十番二丁目5番11号","麻布メゾン302号","2017/2/6","28港み生環き第170号"
"ｅｑｕｒｉ×ＳＨＩＳＥＩＤＯ　麻布十番店","106-0045","東京都港区麻布十番二丁目5番14号","マイコーナービル2階","2017/7/4","29港み生環き第48号"
"十番美容室","106-0045","東京都港区麻布十番二丁目8番2号",,"1999/10/21","11港み生環き第96号"
"Ｏｎｅ　ＷＯＲＬＤ","106-0045","東京都港区麻布十番二丁目8番3号","DKNS麻布 4-1","2020/3/10","31港み生環き第262号"
"Ｅｙｅｌａｓｈ　ｐｒｉｖａｔｅ　ｓａｌｏｎ　Ｌａ－ｔｉｑｕｅ","106-0045","東京都港区麻布十番二丁目8番5号","メゾンアザブディックス501","2012/12/10","24港み生環き第132号"
"ＨＡＭＤＤ","106-0045","東京都港区麻布十番二丁目8番5号","メゾンアザブディックス601","2021/3/10","2港み生環き第221号"
"ＨＡＭＤＤ","106-0045","東京都港区麻布十番二丁目8番5号","メゾンアザブディックス602","2023/9/25","5港み生環き第107号"
"有限会社ヘアスタジオ・ポイント","106-0045","東京都港区麻布十番二丁目8番8号","渡辺ビル 2階","1989/3/17","63港麻総衛環き第49号"
"Ｌｉｘ麻布十番（リックス）","106-0045","東京都港区麻布十番二丁目8番8号","ミレニアムタワー301","2018/7/10","30港み生環き第54号"
"Ｐａｌｍａｒｏｓａ麻布十番店（パルマローザ）","106-0045","東京都港区麻布十番二丁目8番8号","ミレニアムタワー 6階","2015/5/14","27港み生環き第32号"
"アトリエ　ジーデー　パリ　麻布店","106-0045","東京都港区麻布十番二丁目8番10号",,"1998/5/6","10港み生環き第10号"
"ｆｅｌｉｚ（フェリス）","106-0045","東京都港区麻布十番二丁目8番12号","リレント麻布十番 2階","2005/7/11","17港み生環き第61号"
"ＥＹＥＦＡＣＴ（アイファクト）","106-0045","東京都港区麻布十番二丁目8番12号","リレント麻布十番503","2016/8/9","28港み生環き第78号"
"Ｍ’ｓ　Ｂｅａｕｔｙ　Ｓａｌｏｎ（エムズビューティーサロン）","106-0045","東京都港区麻布十番二丁目8番12号","リレント麻布十番801","2017/6/13","29港み生環き第39号"
"ル　フルーヴ","106-0045","東京都港区麻布十番二丁目8番12号","リレント麻布十番803","2009/1/8","20港み生環き第149号"
"Ｃｏｃｏｔｉｉ麻布十番店（ココティー）","106-0045","東京都港区麻布十番二丁目8番12号","リレント麻布十番1002","2016/8/9","28港み生環き第80号"
"Ｇｌａｍ　Ｓｔｕｄｉｏ　Ｌａｎａ　Ｌｕ　Ｂｅａｕｔｙ","106-0045","東京都港区麻布十番二丁目8番12号","リレント麻布十番302号室","2022/3/17","3港み生環き第264号"
"Ｈａｐｐｙ　Ｆｒｅｓｈ　Ｌｏｔｕｓ","106-0045","東京都港区麻布十番二丁目8番12号","リレント麻布十番603","2023/3/20","4港み生環き第213号"
"Ｖｅｎｉｒｅ（ベニーレ）","106-0045","東京都港区麻布十番二丁目8番14号","アイ・オー麻布 地下1階-b","2012/7/12","24港み生環き第50号"
"ユタカ美容室","106-0045","東京都港区麻布十番二丁目8番17号","斉藤ビル 2階ーB","2007/1/24","18港み生環き第123号"
"ｂａｍｂｏｕ　ｈａｉｒ　ｄｒｅｓｓｉｎｇ（バンブー　ヘアー　ドレッシング）","106-0045","東京都港区麻布十番二丁目12番5号","コンフォート麻布102号","2014/5/1","26港み生環き第15号"
"サロンド・ＭＡＳＳＥ（マッセ）","106-0045","東京都港区麻布十番二丁目12番5号","コンフォート麻布301","2023/8/21","5港み生環き第81号"
"ＷＯＲＫＳ　Ａｚａｂｕ－ｊｕｂａｎ（ワークス　アザブジュウバン）","106-0045","東京都港区麻布十番二丁目13番2号","アザブクマイビル 1階","2012/10/15","24港み生環き第107号"
"ルーニア麻布十番シャルム店","106-0045","東京都港区麻布十番二丁目13番2号","アザブクマイビル1階","2010/6/21","22港み生環き第43号"
"ＬＡＧＵＮＡ（ラグナ）","106-0045","東京都港区麻布十番二丁目13番2号","クリスティフジ 2階","2014/10/1","26港み生環き第114号"
"Ｎａｉｌ　＆　Ｅｙｅｌａｓｈ　ｔｒｅｆｌｅ（ネイル　アンド　アイラッシュ　トレーフル）","106-0045","東京都港区麻布十番二丁目13番9号","クレスト麻布 3階","2014/9/24","26港み生環き第109号"
"ＡＩｎｏａ　ｆｉＲｕｎ　麻布十番","106-0045","東京都港区麻布十番二丁目13番9号","クレスト麻布201","2024/1/26","5港み生環き第213号"
"ＬＯＬＯ（ロロ）","106-0045","東京都港区麻布十番二丁目14番4号","エタニティ麻布十番 3階","2012/5/14","24港み生環き第18号"
"Ｖａｌｅｎｔｉｎｅ","106-0045","東京都港区麻布十番二丁目14番4号","エタニティビル3階","2020/10/14","2港み生環き第141号"
"Ｒｒ　ＳＡＬＯＮ　Ａｚａｂｕ　ｊｕｂａｎ　髪質改善＆カラー","106-0045","東京都港区麻布十番二丁目14番4号","和可奈ビル2階","2022/3/31","3港み生環き第273号"
"Ｂｅｌｌｅ　Ｊｏｕｖｅｎｃｅ　ＳＡＬＯＮ　ＩＫＵＥ　ＹＡＭＡＺＡＫＩ　麻布十番","106-0045","東京都港区麻布十番二丁目16番1号","トウセン麻布十番 1階","2015/4/16","27港み生環き第4号"
"ｒｉｃａｒｉ（リカリ）","106-0045","東京都港区麻布十番二丁目16番7号","ピア麻布十番 101","2018/5/10","30港み生環き第18号"
"ｒｉｃａｒｉ（リカリ）","106-0045","東京都港区麻布十番二丁目16番7号","ピア麻布十番 1階","2010/12/17","22港み生環き第144号"
"Ｕｎ　Ｓｏｕｒｉｒｅ（アン　スリール）","106-0045","東京都港区麻布十番二丁目17番5号","コートモデリア麻布301号室","2013/11/25","25港み生環き第141号"
"ヘアカラー専科　２ｎｄ","106-0045","東京都港区麻布十番二丁目17番5号","プライムアーバン2-1階","2020/9/29","2港み生環き第133号"
"Ｂａｓｉｃ　麻布十番店","106-0045","東京都港区麻布十番二丁目17番8号","PARK.I 3階","2020/10/21","2港み生環き第138号"
"Ｅｙｅｌａｓｈ　Ｓａｌｏｎ　Ｍａｉｌａ　麻布十番店","106-0045","東京都港区麻布十番二丁目17番8号","パークアイ4階","2023/8/15","5港み生環き第104号"
"ミロアール美容室","106-0045","東京都港区麻布十番二丁目19番1号","オフィスエイトビル 4階","2003/12/24","15港み生環き第104号"
"クローバー","106-0045","東京都港区麻布十番二丁目19番1号","磯崎ビル 1階","2009/8/25","21港み生環き第63号"
"Ｄｉｏ（ディオ）","106-0045","東京都港区麻布十番二丁目19番4号","1階","2014/6/19","26港み生環き第31号"
"ｎａｉｌｓ　Ｍｉｎｔｉａ（ネイルズ　ミンティア）","106-0045","東京都港区麻布十番二丁目19番4号","Lani bldg.3階","2019/3/13","30港み生環き第210号"
"ａｚａｂｕ　ｂｅａｕｔｅ","106-0045","東京都港区麻布十番二丁目19番4号","シルバープラザ506","2021/6/30","3港み生環き第66号"
"アイビューティサロン　ｔｈｅ　ＯＮＥ　麻布十番","106-0045","東京都港区麻布十番二丁目19番4号","Laniビル3階","2023/7/27","5港み生環き第88号"
"ｕｓｕａｌ　ｈａｉｒ　ｓａｌｏｎ（ユージュアルヘアサロン）","106-0045","東京都港区麻布十番二丁目19番7号","麻布網代マンション101","2018/6/29","30港み生環き第44号"
"Ｄ－ＣＯＬＯＲ（ディーカラー）１","106-0045","東京都港区麻布十番二丁目19番8号","ボヌール麻布十番 1階","2017/5/1","29港み生環き第12号"
"Ｄ－ＣＯＬＯＲ（ディーカラー）２","106-0045","東京都港区麻布十番二丁目19番8号","ボヌール麻布十番 2階","2017/5/1","29港み生環き第13号"
"Ｌａｚ　ＴＯＫＹＯ　ａｚａｂｕ","106-0045","東京都港区麻布十番二丁目19番8号","ボヌール麻布十番401","2023/7/24","5港み生環き第71号"
"ブリエ","106-0045","東京都港区麻布十番二丁目19番10号","JY麻布302","2022/6/27","4港み生環き第25号"
"Ｓａｌｏｎ　Ｔｈｅ　Ｂｒｕｎｃｈ","106-0045","東京都港区麻布十番二丁目19番10号","JY AZABU202","2023/2/17","4港み生環き第197号"
"ＬＵＮＡＳＯＬ（ルナソル）","106-0045","東京都港区麻布十番二丁目20番7号","AZABU MARTO 602","2017/11/14","29港み生環き第145号"
"Ｌｅ　Ｃｉｅｌ（ル　シェル）","106-0045","東京都港区麻布十番二丁目20番10号","グランドメゾン麻布 一の橋 504","2013/4/11","25港み生環き第1号"
"＆　ｅｑｕｒｉ","106-0045","東京都港区麻布十番三丁目1番5号","ストーク麻布K&S 704号室","2022/4/21","3港み生環き第274号"
"へあーず","106-0045","東京都港区麻布十番三丁目2番6号","ライオンズマンション麻布十番第3 1階","1985/10/25","60港麻保衛環き第28号"
"Ｈｉｌｌｓ（ヒルズ）","106-0045","東京都港区麻布十番三丁目2番7号","リゾーム麻布十番502","2015/6/25","27港み生環き第51号"
"ＴＯＫＹＯ８８","106-0045","東京都港区麻布十番三丁目2番7号","リゾーム麻布十番701","2019/2/9","30港み生環き第179号"
"Ｒｉｃｈｅ","106-0045","東京都港区麻布十番三丁目3番8号","麻布共和ビル 1階","2022/12/16","4港み生環き第165号"
"ＶＥＲＶＥＩＮＥ","106-0045","東京都港区麻布十番三丁目3番10号","安藤ビル5階","2019/9/11","31港み生環き第111号"
"着物レンタル　ＳＡＫＲＡ","106-0045","東京都港区麻布十番三丁目3番10号","ラニビル2　4階","2020/11/19","2港み生環き第143号"
"トータルビューティーサロン　ツルティム本店","106-0045","東京都港区麻布十番三丁目5番7号","麻布カジタビル404","2020/12/18","2港み生環き第177号"
"Ｅｌａｎａ　Ｊａｄｅ（エラナ　ジェード）","106-0045","東京都港区麻布十番三丁目6番2号","NSビル 4階","2016/9/14","28港み生環き第97号"
"Ａｒｉｅｓ－Ｂｅａｕｔｙ＆Ｓｐａ－","106-0045","東京都港区麻布十番三丁目7番1号","石原ビル3階","2021/10/1","3港み生環き第123号"
"粋然荘","106-0045","東京都港区麻布十番三丁目7番4号","麻布十番六堂ビル 6階","2008/7/23","20港み生環き第61号"
"ホワイト美容室","106-0045","東京都港区麻布十番三丁目7番5号","403号室","2010/3/3","21港み生環き第146号"
"Ｂｏｎｈｅｕｒ　ｆａｃｔｏｒ","106-0045","東京都港区麻布十番三丁目7番5号","decimo AZABU 701","2023/2/22","4港み生環き第204号"
"サロンブリス麻布","106-0045","東京都港区麻布十番三丁目7番11号","シャトーデスポワール麻布404","2010/9/28","22港み生環き第102号"
"サロンブリス麻布","106-0045","東京都港区麻布十番三丁目7番11号","シャトーデスポワール麻布404","2013/8/22","25港み生環き第85号"
"ひとやすみ","106-0045","東京都港区麻布十番三丁目7番11号","シャトーデスポワール麻布401号室","2023/12/25","5港み生環き第169号"
"Ｎｏ１０","106-0045","東京都港区麻布十番三丁目8番4号","麻布K'sビル5階","2022/12/12","4港み生環き第145号"
"ＥＹＥＬＡＳＨ　ＳＡＬＯＮ　ｍａｈａｌｏ　＆　Ｆｅｓｔａ","106-0045","東京都港区麻布十番三丁目9番2号","麻布山元ビル 3階","2016/9/26","28港み生環き第115号"
"ｓａｋａｓｉｔａ　ｗｅｅｄ（サカシタ　ウィード）","106-0045","東京都港区麻布十番三丁目9番7号","JLBグランエクリュ 2階","2015/4/17","26港み生環き第227号"
"Ｌｏｌｌｙ（ロリー）","106-0045","東京都港区麻布十番三丁目10番12号","シティ麻布603","2018/6/22","30港み生環き第45号"
"ａｉｒ－ＡＺＡＢＵ","106-0045","東京都港区麻布十番三丁目11番11号","2階","2002/10/31","14港み生環き第85号"
"ａｉｒ－ＡＺＡＢＵ","106-0045","東京都港区麻布十番三丁目11番11号","3階","2021/11/9","3港み生環き第152号"
"ヘアカラー専科　麻布十番店","106-0045","東京都港区麻布十番三丁目13番1号","フロール麻布1階","2020/6/1","2港み生環き第40号"
"ＢＬＵＥ　ＦＯＲＥＳＴ．ＰＬＵＳ！　麻布十番店（ブルー　フォレスト　プラス）","106-0045","東京都港区麻布十番三丁目13番4号","リヴェール麻布十番 1階","2013/8/5","25港み生環き第74号"
"ＳＨＩＮＫＡ（シンカ）麻布十番店","106-0045","東京都港区麻布十番三丁目14番2号",,"2014/7/1","26港み生環き第52号"
