通番号,年度,番号,名称,位置,用途,敷地面積(m2),建築面積(m2),延べ面積(m2),駐車場等面積(m2),高さ(m),階数,公開空地(m2),有効公開空地(m2),用途地域,許可年月日,52条,55条,56道路,56隣地,58条,種別,人口,戸数,備考
570,2004,23,(仮称)グランイーグル蒲田本町新築工事,大田区蒲田本町1-16-2外,共同住宅,4607.15,2068.49,18575.91,5149.06,42.07,14,1800,2628.6,準工,2005/2/10,●,,●,,,市,,182,
571,2004,24,(仮称)元赤坂新安全ビル新築工事,港区元赤坂1-602外,事務所、共同住宅,1926.96,1262.78,18392.5,2384.97,92.5,22,620.93,1401.17,商業,2005/3/15,●,,,,,,1002,18,
572,2004,25,(仮称)港区西新橋三丁目計画,港区西新橋3-100-1外,共同住宅,1062.18,570.8,13791.76,4143.01,104.55,31,368.81,693.86,商業,2005/3/18,●,,,,,市,,165,
573,2004,26,(仮称)台東一丁目プロジェクト,台東区台東1-206-1外,共同住宅,2543.91,1139.12,33872.39,11101.46,124.8,37,822.45,1587.33,商業,2005/3/18,●,,,,,都,,261,
574,2004,27,池袋ホテルメトロポリタン(383の増築),豊島区西池袋1-6-1,ホテル,7648.5,4443.19,59527.96,6106.41,94.85,25,2074.4,3580.3,商業,2005/3/18,,,●,,,,2320,,
575,2004,28,(仮称)八重洲一丁目計画,中央区八重洲1-101-3外,事務所、店舗、集会場,3750.53,2167.9,45418.72,5145.92,103.6,20,1805.5,2842.33,商業,2005/5/6,●,,,,,業,2500,,地下鉄出入口
576,2004,29,(仮称)上大崎4丁目計画,品川区上大崎4-591-1外,共同住宅、事務所、店舗,2287.91,1444.17,25543.48,7240.8,115,28,871.7,1838.45,商業、１中高,2005/4/26,●,,,,,市,300,201,
577,2005,1,(仮称)東麻布1丁目プロジェクト,港区東麻布1-8-3他s,共同住宅、店舗、事務所,1340.16,693.06,14160.94,958.76,97.55,27,572.23,838.8,商業、近商,2005/5/11,●,,,,,市,335,134,自然冷媒を用いたヒートポンプ
578,2005,2,(仮称)市谷本村町マンション計画,新宿区市谷本村町42-23,共同住宅,6051.66,2910.31,53398.85,5430.76,129.98,38,2073.12,3164.96,２住,2005/6/14,●,,,,,都,0,440,
579,2005,3,(仮称)菱和西新宿6丁目計画,新宿区西新宿6-667-1外,共同住宅、店舗、事務所、駐車場,4374.68,1465.97,63966.56,9506.54,159,44,1814.95,2472.88,商業,2005/7/15,●,,,,,都,1055,645,
580,2005,4,(仮称)赤坂二丁目計画,港区赤坂2-1757-2外,共同住宅,6939.3,1931.76,73440.55,8321.19,162,44,4284.88,4907.61,商業,2005/8/22,●,,,,,市,0,555,
581,2005,5,(仮称)大崎1丁目プロジェクト,品川区大崎1-796-1外,共同住宅,3121.7,986.04,26376.74,2943.82,98.95,29,1765.83,2495.35,準工業,2005/8/16,●,,,,,市,838,238,
582,2005,6,(仮称)新ＴＨビル計画,千代田区有楽町1-6-1外,事務所、店舗、劇場、映画館、ホテル,6845.95,5100.96,71072.49,7198.29,79.4,18,1304.81,1315.72,商業,2005/10/4,●,,●,●,,,6000,0,地域冷暖房施設、中水プラント
583,2005,7,(仮称)虎ノ門3丁目計画,港区虎ノ門3-14,共同住宅,3165.49,1574.55,27168.48,2458.51,98.4,30,1087,1513.68,商業、２住,2005/11/17,●,,,,,都,0,258,
584,2005,8,(仮称)東洋学園大学本郷キャンパス新校舎新築工事,文京区本郷1-2-1外,大学,2431.53,1314.95,14452.52,887.14,58,12,746.57,1401.72,商業、近商,2005/11/10,●,,,,,,1630,0,
585,2005,9,(仮称)東大井一丁目計画,品川区東大井1-244-1外,共同住宅,6014.89,2147.45,38318.44,3216.49,89.99,26,3539.58,4633.94,準工,2005/11/18,●,,,,●,市,0,352,
586,2005,10,(仮称)スペーシア目黒新築工事,目黒区目黒1-92-1の一部,共同住宅,4121.56,1375,22155.46,2900.75,86.55,25,1819.95,1923.56,準工,2005/11/21,●,,,,●,市,0,183,
587,2005,11,(仮称)D’グラフォート清澄白河,江東区白河3-13-2,共同住宅,1983.17,617.23,17794,1674.29,117.39,33,1124.86,1540.57,準工,2005/11/21,●,,,,,市,0,155,
588,2005,12,(仮称)港南四丁目第3団地建替プロジェクト,港区港南4-4-1の一部,共同住宅、店舗、認定保育所、診療所,10092.03,5093.26,96697.49,7200.11,141,43,3561.01,5378.46,１住,2005/12/28,●,,,,,都,0,828,
589,2005,13,ワールド北青山ビル新築工事(仮称),港区北青山3-71-2,事務所、店舗,1878.22,995,15301.3,1265.22,78.85,15,459.49,561.31,商業,2005/12/21,●,,,,,,1000,0,
590,2005,14,(仮称)新宿区山吹町マンション新築工事,新宿区山吹町366-1外,共同住宅,1215.94,568.75,13646.27,1104.48,80,24,507.69,1041.55,商業,2005/12/6,●,,,,,市,666,176,
591,2005,15,(仮称)西神田三丁目計画,千代田区西神田3-19-1外,事務所、貸会議室,1753.92,946.04,13112.89,628.04,72.95,14,670.35,1426.79,商業,2006/1/31,●,,,,,,1500,0,
592,2005,16,浜松町一丁目用地住宅等整備事業,港区浜松町1-13-19,共同住宅、店舗,2100.25,840.21,18755.28,1678.82,84.44,24,808.5,974.3,商業,2006/1/31,●,,,,,市,0,240,
593,2005,17,(仮称)秋葉原８街区ビル新築工事,千代田区神田松永町1-12外,事務所、店舗、駐車場,1233,789.77,13848.08,883.07,73.57,16,403.34,841.64,商業,2006/2/16,●,,,,,業,1500,0,
594,2005,18,(仮称)東池袋三丁目計画,豊島区東池袋3-3277-2外,共同住宅、店舗,1375.09,711.35,17539.25,1375.89,107.54,31,374.08,722.07,商業,2006/2/20,●,,,,,都,0,204,
595,2005,19,(仮称)美竹ビル建替え事業,渋谷区渋谷1-15-6,事務所、共同住宅,2641.97,1550,19500,1786.71,98.99,27,1171.19,1595.6,商業,2006/3/6,●,,,,,市,258,157,
596,2005,20,(仮称)江東区豊洲１丁目計画,江東区豊洲1-1-13,共同住宅、店舗等,15833.5,7012.66,80998.74,7721.16,77.6,24,6008.19,8501.12,準工,2006/4/25,●,,,,●,市,60,750,
597,2005,21,(仮称)アーバンビュー月島2新築工事,中央区月島1-1505外,共同住宅,2710.62,1532.3,20633.89,2492.39,44.95,14,1138.6,1320.04,２住,2006/4/27,●,,,,,市,0,213,
598,2005,22,(仮称)大森共同住宅新築工事,大田区大森北1-32-3外,共同住宅,1861.37,837.82,18368.24,1877.29,88.15,25,735.95,1279.99,商業,2006/5/16,●,,,,,市,0,180,
599,2005,23,帝京大学板橋キャンパス建替計画,板橋区加賀2-308-6外,大学、病院,50868.08,33001.82,209850.42,19110.26,83.45,19,17348.64,23996.69,１住,2006/5/1,●,,,,,,5220,0,コージェネレーション、防災備蓄倉庫、中水道・雨水ろ過
600,2006,1,大川端リバーシティ21開発事業北ブロック建築計画,中央区佃2-50-4外,共同住宅、研修センター、業務・商業施設,26000.02,11507.67,222196.72,32951.67,180,54,10967,12327,商業,2006/5/15,●,,,,,市,1500,1399,
601,2006,2,(仮称)アパートメンツ目黒,目黒区下目黒2-364外,共同住宅、店舗,3318.58,300,19764.3,2618.28,68.25,22,1208.78,1972.89,準工業,2006/6/20,●,,,,●,市,0,193,
602,2006,3,(仮称)御茶ノ水計画,千代田区神田駿河台2-5-1外,事務所、病院,2277.47,1007.64,14526.13,1308.68,71,14,901.93,1192.66,商業,2006/6/28,●,,,,,,1200,0,
603,2006,4,(仮称)西新宿７丁目ビル計画,新宿区西新宿7－115－1外,事務所、共同住宅,3733.82,1540,39250,3250,139.9,33,1486.1,2186.8,商業,2006/6/30,●,,,,,市,1640,99,防災倉庫
604,2006,5,(仮称)神田須田町計画,千代田区神田須田町1-23-1,事務所、共同住宅、変電所,2152.25,1240,21102,1470,96.5,19,866.72,1757.12,商業,2006/7/24,●,,,,,,1040,32,変電所
605,2006,6,(仮称)北品川三丁目計画,品川区北品川3-250-8外,共同住宅,2879.77,1413.6,26261.64,2376.3,119.9,36,1094.91,1439.01,商業、１住,2006/7/25,●,,,●,,都,0,278,
606,2006,7,(仮称)六本木七丁目マンション建替計画,港区六本木7-120-1,共同住宅,1328.72,597.72,13212.09,1459.56,98.9,28,431.25,926.42,近商,2006/8/23,●,,,,●,都,0,104,
607,2006,8,(仮称)ＬＴ根津プロジェクト,文京区根津2-36-2,共同住宅,5433.48,2242.23,21137.34,930.85,59.95,19,1703.15,2995.87,２住,2006/8/24,●,,,,●,,0,211,
608,2006,9,(仮称)高輪台プロジェクト,港区高輪3－103－3外,共同住宅,2209.29,896.81,22996.37,2109.49,99.9,29,1189.61,1205.29,商業、１住,2006/8/28,●,,,,,都,0,238,地下鉄施設
609,2006,10,(仮称)赤坂さくら坂計画,港区赤坂4-2-3,共同住宅,2069.6,1058.4,19362.51,2513.77,98.9,26,791.27,1198.04,２種住居,2006/8/18,●,,,,,市,0,147,
610,2006,11,(仮称)株式会社学習研究社五反田新本社計画,品川区西五反田2-11-13,事務所、保育所,2964.06,1079.83,27950.82,2120.03,119.3,24,1595.24,2241.48,商業,2006/8/24,●,,,,,,1800,0,
611,2006,12,(仮称)千住曙町プロジェクト,足立区千住曙町18-1,共同住宅,11955.57,5860,67650.05,13530.1,78.5,24,4987,5632.9,準工業,2006/8/29,●,,,,,市,0,518,
612,2006,13,(仮称)O1プロジェクト,品川区南大井6-6-1外,事務所,2400.58,1352.99,18302.54,1616.17,58.9,12,1107.72,1727.62,商業,2006/10/12,●,,,,,,1180,0,
613,2006,14,(仮称)江東区亀戸9丁目計画,江東区亀戸9－54－1外,共同住宅、老人ホーム、保育園、学童クラブ、地域集会所,20123,9708.51,83578.79,9509.13,56.47,17,4253.8,7406.62,準工,2006/10/12,●,,,,,市,0,700,
614,2006,15,(仮称)飯田橋三丁目計画,千代田区飯田橋3-16-1,事務所、集会場、貸会議室,2384.03,1218.79,16152.62,1365.97,62.98,13,732.65,1359.14,商業,2006/11/15,●,,,,,,1100,0,
615,2006,16,(仮称)新橋４丁目計画,港区新橋4-1,事務所、駐車場、インキュベートオフィス,1562.92,998,15124.29,814.9,80.8,16,466.85,989.58,商業,2006/11/10,●,,,●,,業,1500,0,
616,2006,17,"(仮称)芝浦三丁目計画B,C街区新築工事",港区芝浦3-1-3外,事務所、ホテル,4940.91,2035.74,32999.13,2639.36,95,19,2861.47,4782.67,準工,2006/12/15,●,,,,,業,2200,,
617,2006,18,(仮称)青葉台三丁目計画,目黒区青葉台3-505-1外,事務所、共同住宅,6968.8,2900,56200,6098.14,144.5,33,3748.77,3664.79,商業、1住,2007/1/22,●,,,,,市,495,165,
618,2006,19,(仮称)荒川区南千住３丁目計画,荒川区南千住3-189-1外,共同住宅,6442.8,3720.98,33789.58,4740.85,65.94,20,3079.33,3235.9,準工,2007/2/20,●,,,,,市,,303,
619,2006,20,(仮称)汐留浜離宮計画,中央区銀座8-219-10,事務所、文化・交流施設,4413.39,2435.73,47968.23,5328.4,120,21,2125.23,3207.31,商業,2007/2/8,●,,,,,業,3286,,
620,2006,21,(仮称)板橋区前野町２丁目計画,板橋区前野町2-16-1外,共同住宅,12727.23,4852.63,46121.76,6448.19,59.97,18,5702.22,7716.73,準工、工業,2007/2/13,●,,,,,市,,419,
621,2006,22,(仮称)練馬・中村北計画,練馬区中村北1-11-4,共同住宅,2703.3,1298.4,29902,2836,98.95,29,1104.2,1753.42,商業,2007/2/20,●,,,,,市,,261,エコキュート
622,2006,23,(仮称)秋葉原計画,千代田区外神田3-92-1,事務所、ホール、店舗,2925.12,1676.43,32006.62,4212.77,98.95,19,1645.89,2531.75,商業,2007/3/20,●,,,,,業,1800,,
623,2006,24,(仮称)東大泉１丁目計画,練馬区東大泉1-502外,共同住宅、店舗,1457.41,795.87,12105.46,1115.9,90.2,26,297.11,545.51,商業,2007/3/20,●,,,,,市,,123,
624,2006,25,(仮称)葛飾区東金町プロジェクト,葛飾区東金町1-3500-1,共同住宅、保育園、駐車場,11464.2,3650.94,40382.27,1520.98,59.97,19,4346.19,6881.42,準工,2007/3/20,●,,,,,市,,422,保育所
625,2006,26,(仮称)代官山プロジェクト,渋谷区恵比寿南3-129-2外,事務所、店舗,2661.32,1270,16836,2019,59.9,12,1201.74,2302.56,商業、２中高,2007/4/12,●,,,,,,,,
626,2007,1,(仮称)かんべ土地K-7ビル計画,品川区大井4-3-1,ホテル、店舗,1781.63,1017.44,15260.52,1548.36,79,20,639.96,1241.22,商業,2007/5/23,●,,,,,,530,,
627,2007,2,(仮称)SEBON多摩センター,多摩市落合1-36,共同住宅、店舗,2657.16,1615.66,24674.43,8999.47,98.7,27,1573.45,1936.83,商業,2007/5/23,●,,,,,市,,161,エコキュート
628,2007,3,(仮称)三番町計画,千代田区三番町6-4,事務所、店舗、共同住宅、駐車場,5061.14,2194.31,33899.64,5733.81,68.97,15,2367.67,2864.8,２住,2007/6/11,●,,,,,市,2000,33,
629,2007,4,平河町二丁目東部南地区第一種市街地再開発事業,千代田区平河町2-9外,事務所、共同住宅、店舗、駐車場,5592.2,2500,51869.16,9780.25,108.5,24,2021.26,2854.49,商業、2住,2007/6/13,,,,●,,市,1600,128,
630,2007,5,(仮称)御成門プロジェクト,港区西新橋3-6-1外,事務所、共同住宅、店舗,1341.86,821.7,16277.54,2994.05,93.12,21,439,906.56,商業,2007/8/6,●,,,,,市,620,48,
631,2007,6,(仮称)オリックス西葛西マンション,江戸川区西葛西5-8-16外,共同住宅,4185.7,1611.49,22072,5848.67,59.98,19,2011,2308.12,1住,2007/7/31,●,,,,3,市,,189,
632,2007,7,(仮称)新ロッテプラザ計画,墨田区錦糸4-18-1,ホテル、店舗,1933.9,997.24,14660.64,761.25,84.5,19,606,1222.1,商業,2007/9/6,●,,,,,業,,,地下鉄出入口
633,2007,8,(仮称)ベルギー大使館建替計画,千代田区二番町5-4外,事務所、共同住宅,8480.46,4615,52291.16,8434.26,59.4,13,2403,3495.33,商業、2住,2007/11/21,●,,●,●,,市,1750,70,
634,2007,9,(仮称)代官山プロジェクト,渋谷区恵比寿南3-129-2外,事務所、店舗,2640.87,1270,16836,2019,59.9,12,1186,2257.12,商業・2中高,2007/11/15,●,,,,,,1200,,
635,2007,10,(仮称)渋谷東１丁目計画,渋谷区東1-113-2外,事務所、共同住宅、駐車場、ホール,5495.59,3190.9,54331.44,14417.65,126.4,25,2678.88,4012.63,商業、近商、２中,2007/12/17,●,,,,,市,,163,
636,2007,11,(仮称)勝どき1丁目地区プロジェクト,中央区勝どき1-104-7外,共同住宅、店舗、診療所、保育所,5034.1,2247.31,54464.07,15351.29,159.85,45,1840,2588.6,商業、2住,2008/2/25,●,,,,,都,,535,
637,2007,12,(仮称)江東区白河４丁目プロジェクト,江東区白河4-1-2,共同住宅、保育所,4893.93,1747.36,38832.26,10288.81,116.9,35,2500.44,3224.69,商業、近商業、準工,2008/2/14,●,,,,,市,,379,保育所
638,2007,13,(仮称)浜離宮インターシティ,港区海岸1-21-2外,事務所、住宅、店舗,3857.48,1800,39000,11955.77,119.8,25,2204.26,2900.44,準工,2008/3/18,●,,,,,市,,158,防災備蓄倉庫
639,2007,14,(仮称)霞が関３丁目計画,千代田区霞が関3-53-2外,事務所、インキュベートオフィス,1910.18,1199.98,19199.98,1911.61,84.22,17,883.78,1246.37,商業,2008/5/2,●,,,,,業,1200,,
640,2007,15,(仮称)芝浦四丁目計画,港区芝浦4-4-28外,共同住宅,1778.13,702.44,16409.03,5235.09,99.95,30,818.85,1059.59,準工,2008/4/18,●,,,,,市,,242,
641,2007,16,(仮称)台東区池之端二丁目計画,台東区池之端2-122-1外,共同住宅,1306.28,618.65,17546.11,500.89,106.6,30,464.3,871.82,商業,2008/4/18,●,,,,,都,,175,
642,2007,17,(仮称)レクセルマンション梅島,足立区梅田5-573-12外,共同住宅(一部店舗),6692.4,3588.18,23853.07,4991.68,42.21,14,1870.24,3112.77,1住,2008/4/16,●,,,,,市,655,214,
643,2007,18,(仮称)金町2プロジェクト,葛飾区東金町1-2106-1外,共同住宅、スポーツクラブ、診療所、店舗,11534.5,4836.72,36755.99,5788.42,44.97,15,3602.29,5385.77,準工業,2008/4/16,●,,,,,市,1807,304,
644,2008,1,中日新聞社品川開発計画,港区港南2－8－71外,事務所、店舗、保育所,7498.24,3793.51,72650.75,8632,99,19,533.24,426.59,商業,2008/5/23,●,,,,,業,3900,,防災備蓄倉庫・保育施設・行政地元利用会議室
645,2008,2,(仮称)全共連ビル建替計画,千代田区平河町2-7-1外,事務所、住宅、店舗,13575.73,5880.64,87537.6,16933.48,102,21,5846.76,8241.11,2住,2008/7/1,●,,,,,,6900,117,
646,2008,3,(仮称)港区芝浦2丁目計画,港区芝浦2-1-3外,事務所、住宅,1324.52,600.78,10957.93,2232.11,75.55,18,678.43,878.94,準工業,2008/7/1,●,,,,,市,400,52,エコキュート
647,2008,4,(仮称)六本木一丁目北計画,港区六本木1－116－9外,事務所、住宅、店舗,2516.46,1231.15,18425.62,4472.88,67.26,15,1041.33,1185.3,2住,2008/7/1,●,,,,,市,500,24,
648,2008,5,(仮称)青戸７丁目プロジェクト,葛飾区青戸6-43-1,共同住宅,13945.15,5575.27,52156.83,11718.68,65.6,20,5978.55,8419.61,準工業,2008/7/4,●,,●,,,市,,528,
649,2008,6,芝公園プロジェクト,港区芝公園2-209-2外,事務所、店舗、住宅,2064.9,670.06,16712.04,1204.85,114,24,933.58,1470.28,商業,2008/7/17,●,,,,,,920,2,備蓄倉庫
650,2008,7,(仮称)Brillia月島１丁目プロジェクト,"中央区月島1-1505,1506,1507",共同住宅,2710.62,1540.3,21682.56,5878.01,44.98,14,1146.14,1354.58,2住,2008/7/22,●,,,,,市,,191,
651,2008,8,(仮称)南平台町計画,渋谷区南平台39-1外,事務所、ホール,8056.03,3500,59990,9277,138,22,4895.85,5976.01,商業、2住,2008/7/28,●,,,,,,3000,,
652,2008,9,(仮称)豊洲5丁目プロジェクト,江東区豊洲5-7-1,事務所、店舗,10255.07,3869.15,42493.59,1728.01,59.95,13,3624.05,5104.85,準工業,2008/7/22,●,,,,,,3227,,
653,2008,10,(仮称)元赤坂Kプロジェクト,港区元赤坂1-205-24外,事務所、共同住宅、店舗,5121.21,2310.03,53863.17,9083.83,158,30,2498.25,3793.02,商業,2008/8/28,●,,,,,,2800,40,
654,2008,11,(仮称)赤坂二丁目計画(福吉町),港区赤坂2-2301外,事務所、共同住宅、店舗,2006.45,1260,24900,4850.53,106.16,22,728.32,1293.59,商業,2008/8/28,●,,,,,市,1026,41,
655,2008,12,(仮称)富士見一丁目計画,千代田区富士見1-5-1外,事務所、住宅,3720.44,1674.72,22982.54,3358.3,66.31,14,917.56,1498.28,商業、1住,2008/9/4,●,,,,,市,1250,19,
656,2008,13,(仮称)神田西口再開発プロジェクト,千代田区内神田3-21-1外,事務所、店舗,1727.92,744.49,14698.6,1428.18,81.9,19,859.8,1387.76,商業,2008/8/28,●,,,,,,1100,,
657,2008,14,(仮称)東雲2丁目計画,江東区東雲2-12-6外,共同住宅,5390.94,2280.14,45370.48,13373.61,108.59,31,2563.2,3736.9,準工業,2008/9/3,●,,,,,市,,476,
658,2008,15,(仮称)三田プロジェクト,港区芝4-23-1外,事務所、店舗,1529.49,925,14920.32,1537.29,78,15,515,1127.1,商業,2008/11/7,●,,,,,,1000,,
659,2008,16,(仮称)東上野4丁目計画,台東区東上野4-109-1外,事務所、店舗、共同住宅,2414.83,1446.48,23927.35,22256.79,85.62,18,939.01,1811.18,商業,2008/10/21,●,,,,,業,,23,
660,2008,17,(仮称)新飯野ビル計画,千代田区内幸町2-22-1外,事務所、店舗、集会所,8027.24,4642.6,105777.43,15925.96,147,27,4238.61,5654.03,商業,2008/10/28,●,,,,,業,6000,,変電施設、地下鉄出入口、中水施設、備蓄倉庫
661,2008,18,(仮称)白金台２丁目共同建替計画,港区白金台2-2-25外,共同住宅、店舗、診療所,1674.35,633.08,19706.52,6418.89,120,35,975.06,986.5,商業、１住,2008/10/24,●,,,,,都,,175,
662,2008,19,(仮称)上馬一丁目計画,世田谷区上馬1-631-10外,共同住宅、店舗,1821.65,513.17,15623.11,5444.46,105.4,30,881.27,1129.15,商業、近商,2008/10/27,●,,,,,市,,158,
663,2008,20,(仮称)赤坂2丁目3計画,港区赤坂2-308-1外,事務所、店舗,1921.53,1103.28,17952.35,1196.81,73.25,16,705.82,1379.53,商業,2008/11/26,●,,,,,,1700,,
664,2008,21,(仮称)辰巳1丁目計画,江東区辰巳1-3-4外,共同住宅,5965.7,2167.65,40545.9,11994.96,87,24,3574,3731.68,準工業,2008/11/27,●,,,,,市,,316,
665,2008,22,(仮称)北大塚計画,豊島区北大塚1-13-1,共同住宅,2940.37,1065.6,21424.48,5456.25,79.38,23,1208.79,1871.57,２住,2008/12/16,●,,,,,都,,226,
666,2008,23,(仮称)国際医療福祉大学三田病院新築工事,港区三田1-101-19,病院,7100,3331.47,36733.83,4652.59,53.2,11,2001.02,2303.58,２住,2009/1/28,●,,,,,,1600,,汚水処理施設
667,2008,24,(仮称)芝浦４丁目計画,港区芝浦4-1-37外,事務所,4216.95,2036,23112,2449,56.8,11,1613.08,2524.33,準工業,2009/1/7,●,,,,,,1950,,
668,2008,25,(仮称)御殿山プロジェクト,品川区北品川6-351-5外,事務所、店舗,15942.79,9225.58,64028.48,9125,41,9,3271.79,5404.38,1中、商業、準工業,2009/1/23,●,,,,,,5000,,
669,2008,26,(仮称)汐留プロジェクト,港区東新橋2-8-2外,事務所、共同住宅、店舗,3333,2150,40800,7903.29,99.42,23,1378.68,1498,商業,2009/2/12,●,,,,,市,1700,117,
670,2008,27,(仮称)西浅草３丁目計画,台東区西浅草3-18-1外,共同住宅、保育所,6339.97,2529.44,68913.91,19568.49,133.53,37,3023,4429.71,商業,2009/2/27,●,,,,,市,,693,保育所
671,2008,28,(仮称)原宿住宅マンション建替事業施行再建マンション計画,渋谷区神宮前3-37,共同住宅,5176.4,2630,28980,11010,66,19,1589.44,1989.79,近商、1中,2009/2/27,●,,,,,共,,215,
672,2008,29,(仮称)東陽町計画,江東区塩浜2-483-50,共同住宅,3552.35,1328.2,22077.25,6333.95,66.25,18,1802.45,1967.87,準工業,2009/2/27,●,,,,●,市,,336,
673,2008,30,(仮称)SSJ品川ビル計画,港区港南1-5-4外,事務所、店舗,3711.61,1718.58,29954.56,3507.16,86.19,18,1720.79,2154.32,商業,2009/3/18,●,,,,,,2000,,
674,2008,31,(仮称)帝京大学板橋キャンパス建替計画,板橋区加賀2-308-6外,大学、病院,50868.08,33001.82,209780.18,27588.68,83.45,19,18620.8,24682.21,１住,2009/3/18,●,,,,,,5220,,コージェネレーション施設、防災備蓄倉庫、中水道・雨水ろ過施設
675,2009,1,(仮称)友愛会館建替え計画,港区芝2-2-6外,事務所、ホテル,1136.01,545,10003.26,976.86,64.15,16,547.02,814.37,商業、近商,2009/5/11,●,,,,,,,,防災備蓄倉庫
676,2009,2,(仮称)東京慈恵会医科大学附属青戸病院建替計画,葛飾区青戸6-33-4外,病院、消防分団本部,12437,4656.66,29191.91,1769.75,40.6,9,3130.29,4402.14,準工業,2009/11/11,●,,,,,,1800,,消防分団本部、災害拠点病院備蓄倉庫
677,2009,3,(仮称)東池袋一丁目共同ビル建設計画,豊島区東池袋1-24-1外,事務所、店舗,1975.14,1060,21967,1127,97.35,21,794.74,1526.46,商業,2009/10/13,●,,,,,業,1390,,
678,2009,4,(仮称)神田万世橋ビル計画,千代田区神田須田町1-25,事務所、店舗、ビジネススクール、カルチャースクール,3272.38,1693.33,28499.22,2917.36,99.5,20,1601.2,2256.46,商業,2010/2/25,●,,,,,,1500,,
679,2009,5,(仮称)築地５丁目計画,中央区築地5-2-1外,事務所、物販店舗、飲食店舗、集会場,4752.46,2351.68,31639.33,2520.06,70.67,13,1934.9,2760.76,商業,2010/3/9,●,,,,,,2000,,防災備蓄倉庫
680,2009,6,(仮称)日本橋本町三丁目共同ビル本町通り建替計画,中央区日本橋本町3-1-1外,事務所、飲食店舗、駐車場,1348.96,839.91,13480.91,1140.73,74.85,15,405.39,728.95,商業,2010/2/26,●,,,,,業,1350,,
681,2009,7,(仮称)豊洲五丁目計画,江東区豊洲5-2-46外,事務所、店舗、集会所、駐車場,3625.74,1792,16114.52,1002.52,63.29,12,1034.35,1037.18,商業,2010/2/26,●,,,,,,1000,,
682,2009,8,(仮称)内神田三丁目ビル新築工事,千代田区内神田3-21-1外,事務所、貸会議室、店舗、駐車場,1854.67,766.66,14724.77,832.97,85.7,19,1082.5,1293.23,商業,2010/3/23,●,,,,,,1000,,
683,2009,9,新赤坂センタービル(仮称)建設工事,港区元赤坂1-308-1外,事務所、共同住宅、貸会議室、駐車場,4536.94,2230,39786.93,7337.92,99.54,20,1632.52,2682.21,商業,2010/3/23,●,,,,,,2000,22,防災備蓄倉庫
684,2009,10,(仮称)日本橋本町二丁目計画,中央区日本橋本町2-1-1外,事務所、店舗、駐車場,2365.09,1485,27600,3136,90,17,799.5,1565.61,商業,2010/4/13,●,,,,,業,1600,,中水処理施設
685,2010,1,(仮称)RMガーデンプロジェクト,港区西麻布4-39-1、39-11,共同住宅、店舗・診療所,2960.71,1350,24039.9,6623.6,86.55,24,1269.8,1458.7,近商、１住,2010/9/1,●,,,,,都,,200,
686,2010,2,(仮称)芝浦4丁目計画,港区芝浦4-4-22,住宅,1729.05,716.18,15944.68,4521.52,99.97,30,655.63,899.36,準工業,2010/10/19,●,,,,,都,,171,
687,2010,3,(仮称)日通商事新本社ビル計画,港区海岸1-19-2、32-4,事務所、共同住宅、駐車場,2155.22,1070.07,15002.14,2993.73,69.9,15,549.9,1000.91,準工業,2010/11/19,●,,,,,市,500,45,
688,2010,4,(仮称)神田錦町３－２０計画,千代田区神田錦町3-20-1外,事務所、共同住宅、店舗,2204.78,1085.04,18417.15,1647.94,83,16,931.54,1725.15,商業,2011/2/7,●,,,,,,1000,20,
689,2010,5,(仮称)北区滝野川六丁目計画,北区滝野川6-21-1外,共同住宅、店舗・児童福祉施設等,8028.76,3318.93,51708.63,15326.23,99.97,28,4081.16,4594.58,１種住居、商業,2011/2/28,●,,,,,市,,586,86条3項
690,2010,6,日本医科大学付属病院新築工事,文京区千駄木1-59-2外,病院,11962.46,4588.82,59867.73,10485.06,46.3,10,5719.91,6271,１種中高、近商,2011/2/28,●,,,,,,2400,,52条14項
691,2010,7,(仮称)高輪二丁目計画,港区高輪2-81-6外,事務所,2967.19,1336.24,22908,2233,98.5,20,1089.33,1410.57,商業,2011/2/28,●,,,,,,1530,,
692,2010,8,(仮称)京橋二丁目プロジェクト,中央区京橋2-1-8外,事務所、ホテル,4403.86,2334.78,51998.93,7961.33,108.7,21,2267.07,3684.36,商業,2011/3/3,●,,,,,業,2300,,
693,2010,9,(仮称)シャトー三田建替計画,港区三田2-34-2外,共同住宅、店舗,3717.21,1720,33720,10840,79.98,24,1949.27,2563.64,近隣商業、1住,2011/3/23,●,,,,,市,,270,
694,2010,10,旧福井中学校跡地活用事業(仮称)ヒューリック浅草橋ビル,台東区浅草橋1-24-12外,事務所、店舗、集会場、自転車置場,2914.15,1694.43,19654.84,2833.54,64.76,12,1067.38,1289.66,商業,2011/3/23,●,,,,,,1200,,備蓄倉庫
695,2011,1,順天堂大学キャンパス・ホスピタル再編事業（仮称）B棟建設工事,文京区本郷2-201-1外,病院,5156.48,3035.96,46458.58,7884.84,99.72,21,1678.33,2183.05,商業,2011/9/8,●,,,,,,,,コージェネレーション施設、防災備蓄倉庫
696,2011,2,(仮称)西新橋１丁目計画,港区西新橋1-4-1外,事務所、店舗,4796.14,2400,55500,4159.36,120,22,2298.46,2231.36,商業,2012/3/22,●,,,,,業,3300,,中水処理施設
